cell,stage,arm,role,theorem,replicate,failed,solved,cost,uncached_cost,receipts,requests,input,cached,output,artifact_sha256,input_sha256,result_sha256,proof_sha256,cache_sha256
learning__adapt__reflector__imo_1963_p5__seed0,learning,adapt,reflector,imo_1963_p5,0,False,True,0.00994872,0.013495799999999999,3,3,62547,19706,822,,2424e6ff1fb1bfa35de7c59e808c286c7dd8ba3e9276551b00ec3ea02e0f7b24,f7e9fd8f5053b4e13309116e478c666c1fbec136a3e4bb33d8f45c729ac9cf15,,ec18cec759e27cc0257658d13303d36b50c855eadbd0050bd7d1a43b439307af
learning__adapt__reflector__amc12b_2004_p3__seed0,learning,adapt,reflector,amc12b_2004_p3,0,False,True,0.010982099999999998,0.014617199999999999,3,3,66396,20195,1115,,f2e6bf4b3c1a02cdcb6c833b9ead326e7d621a18c4f64e1582702813a70c8d62,f8acd255701aedf8ebb6b62006b940eb371b86cb715fdb39ac776a6168a6706f,,8200b2eae9981dd152e00d20e2d85dfdc7c65736288170254d687fc784af7d2b
learning__adapt__reflector__mathd_numbertheory_458__seed0,learning,adapt,reflector,mathd_numbertheory_458,0,False,True,0.0039384,0.0039384,1,1,18894,0,133,,760b374f07e1be4b285a852f8d92fa22e0b6bd19defc8750e665394aa9927b88,0a9d98e9a8c6397311a811ffae81085d52045247c232f1abdec47325c10de091,,c7d679a67ce6182273270bd27790d42323a83c848d890a10bd4c92c1566872e3
learning__adapt__reflector__mathd_algebra_37__seed0,learning,adapt,reflector,mathd_algebra_37,0,False,True,0.008543539999999999,0.0119288,3,3,57388,18807,376,,7032ada9f1702da4bf43d693ef74c001d0ce96e894474e991965fe8c8d3df40e,ccebc48ca35fabf926d99d237a462be7535c428788e58bdc0533ad237abd5c47,,f508c4d24746484444538ca968c87a16fd696142725e131043c9feaaacad89a6
learning__adapt__curator__mathd_algebra_323__seed0,learning,adapt,curator,mathd_algebra_323,0,False,True,0.006595,0.006595,2,2,30821,0,359,,fd6c452892187891b7d2bf53c6bde6c80813df9aeca3ef7bfdf06b76a8ccdff4,fdfa21f38986b208e6f83a884f3a6a73ec7136fa3459df1ba4666f42b8970f8b,,e36c965a752fdf80d0ea427eec6819fc3ef04afe694f52fa84a54f6250d3d832
learning__adapt__curator__mathd_algebra_206__seed0,learning,adapt,curator,mathd_algebra_206,0,False,True,0.009899,0.009899,3,3,45187,0,718,,df04c2ec7605b086b69a7bfb2ab5030360b7836f31e092a156d2c0854f837fc6,d472e13ed8275e3d40d535fe3eef7a4921be97072ac4822792b4436c6ca5cd46,,c06f35954b40070e6800b773f6010d053cef72cfadf8f71c076fea2878e03989
learning__adapt__reducer__block2__seed0,learning,adapt,reducer,block2,0,False,True,0.008261359999999999,0.0092978,4,4,41209,5758,880,,14ea0aca0e6be706461f552d94a7b9cbc1cec301f285e0abd0d9c7b86dd2a287,64286a02faf3700eafdf6bfe2f6501a1c4caf3ad006d9a1a640e7c45bc6862ff,,0c20d770128dd6697671cfd8a94f501c50a0dd632c453605e56e3b5bdda622f5
learning__adapt__reflector__mathd_numbertheory_221__seed0,learning,adapt,reflector,mathd_numbertheory_221,0,False,True,0.0039146,0.0039146,1,1,18781,0,132,,85270d8b13641532cab4e3892e3c79ea5043d99c1b4fa24f8130dd411403a785,a8997e98d041f982b6814d89ea5b68923fc5c34f6dc2eb5b4788aabbfc57c2a6,,7613a23d2aee718a4c483672055cb0a5135f2eef19e74cf1e1c1b033502feea5
learning__adapt__reflector__mathd_numbertheory_326__seed0,learning,adapt,reflector,mathd_numbertheory_326,0,False,True,0.0038996,0.0038996,1,1,18796,0,117,,4e375b8e75b3f67c1bd55f1e0c6f9f71e78b10c59bcc79ced868b353757171bd,af98112fe2d833f1024e30a426eadaadb70f2e41052f7d4e3c89d1afac0a6312,,8c86bf099985b751b04e7b9d6bda419be7cc70f55e6422c00a48ad1c6a297f1b
learning__adapt__reflector__mathd_algebra_323__seed0,learning,adapt,reflector,mathd_algebra_323,0,False,True,0.00933732,0.0128412,3,3,60912,19466,549,,cd880ad3dcd8f3d8929855f883fa7f7593afffe6e0761ca128761af14dcc82b8,109789a0aa67a4a7141d913f92f6bd52e440ee0e43c8e827634b59d497d6abe1,,8acd8bdc660f5dd6b6e16d2ff4227d2f5ffa62e383b8ea6eac5cbfc7459dc2c6
learning__adapt__reflector__mathd_algebra_206__seed0,learning,adapt,reflector,mathd_algebra_206,0,False,True,0.008994919999999998,0.012430399999999998,3,3,58540,19086,602,,86649eef41f3ddb053ff4acad8ab3c7e6d670868d890b9affac72abec5f19d19,9c8e23413110b53adf4834e40ad9882714f71588426493839497de680d5bbbb6,,59581e9aaebf0f9c66aa3f46b074b74cb03e39347954321cba8a118dfa0da9eb
round1__x3__proof__aime_1990_p4__seed0,round1,x3,proof,aime_1990_p4,0,False,True,0.01585624,0.0325786,13,13,121763,92902,6855,6470581f6434fdcbc10810cac84cd2c442ee1fac59fbe607e4f267f35e0187bd,15c76e5aed3d755452422648d399b7df14803d5839bb4cc9d2a08c35ed398eec,45a24fd5da0d1340e2aabc2db469865d3de528351212e7ba2d7407c84a8a3664,ea3a0fe6a7629764047b2671ff0e13516bf7bcb282713b8657a0e3eedf8851b7,bd001a5672237ee11ba22c37607af0ebc64a5c0fca32f31cc5f136a948f99fe4
round1__polished__proof__aime_1990_p4__seed0,round1,polished,proof,aime_1990_p4,0,False,True,0.01576522,0.0257644,9,9,83462,55551,7560,30bd01a797321dd7897a928ff647f838164fc3ba607d31fb0951e8784a9faa20,31bcd02617e3ce527672eb3f78dd5f0595e8072ac02a403f325ef06035dd1d99,7364a705db4f4aed9997689082a2455f908fee59e972d5904768845a31c7b017,46e11f74d23b240d8842fa77701fa1e73af53c962dca468d65847b171e3ef4b6,9ac1d520a619bd30f08f8a7a58a49f1d274b3ee8265db5970f2c1ffd25a8f9c0
round1__examples__proof__aime_1990_p4__seed0,round1,examples,proof,aime_1990_p4,0,False,True,0.0106751,0.0225488,6,6,83638,65965,4851,e66c5939f05d38baf07e1faaa2da6b9cf22d05840126b839c0e55d8dbded20fc,999740b13bb239fdff4b88fccb11aeaa42a2d948f594524b60a96c9b6c3ebe4a,95ad3f17cc1769b1ec56c8f9ec1c4854c44655321ff8127a0cf0e5f504a6ecfe,dd7c039be02e99078295f90ccbcfd709c13791f04bb00102bdf0ce3e46ad561a,2666f619c36368a5b264acdf41aa5f60916d1da25f19398d2eb64453238aee25
round1__polished__proof__mathd_numbertheory_458__seed0,round1,polished,proof,mathd_numbertheory_458,0,False,True,0.00193924,0.00478,3,3,18926,15782,829,30bd01a797321dd7897a928ff647f838164fc3ba607d31fb0951e8784a9faa20,a0788950f6e1eda59c373735ca258ef9cedb10fe088f7f369bb4b6a7816293be,0c002c1520ee07829bdb92d19de5f92ee72d7fa63cbc2ddb9f1b1ca583edf2c1,61607e0bb51865d4f2a8154b1a71e20d8909f1c1090675f9d6bb4c365ed88575,374463cda1c775c3fa4db0e51248ca84d50af841903ceb7daacfb7c41626a21f
round1__examples__proof__mathd_numbertheory_458__seed0,round1,examples,proof,mathd_numbertheory_458,0,False,True,0.0014508999999999998,0.005436999999999999,2,2,23783,22145,567,e66c5939f05d38baf07e1faaa2da6b9cf22d05840126b839c0e55d8dbded20fc,45ffe3ae24094fe654b3971f160645115f9995299d495fa4f261fa011cd2ba61,8e4ffd71b2cee838b9b287a836d0a6c8bffca360326291a481cfc65b7af8816b,0e4828ee14af674db19315fb3b94e36c76e7212477c1026a73a69300fc14a8e3,ab3a4060f5f029ba4b35e8d560b5460621ea169fb75ece3ae1497e55b71f6059
round1__x3__proof__mathd_numbertheory_458__seed0,round1,x3,proof,mathd_numbertheory_458,0,False,True,0.0036984,0.0079464,5,5,34542,23600,865,6470581f6434fdcbc10810cac84cd2c442ee1fac59fbe607e4f267f35e0187bd,c704fc5f4030ef2f731a80b195ec55076f32a3bb5506b2b4537f4d13099976fe,a9efe31948af340d3d4099404a9a2a6a272723082e3e78e9caf1910c2d7090c4,c52447d559b52a8a6b098579359de1e2c5b3456845d29036f16e20e1a1c148db,8cec4c25e1e26104daa85f6c2962bbcc694adfc786b955d9735092b94907f989
round1__examples__proof__imo_1967_p3__seed0,round1,examples,proof,imo_1967_p3,0,False,False,0.06229434,0.1341606,25,25,567633,399257,17195,e66c5939f05d38baf07e1faaa2da6b9cf22d05840126b839c0e55d8dbded20fc,9e17bb8450d8d9b7b11f7dbe53adba8afbf55c640e74c378b0d1f0451e39f96a,9e49cad50e60cfde2ec231ebff837e4bcfac88cef4a62ff01e249c8cd56a7b78,,36c1a195abeb03f1ce364a847ef2faaa3422a552fa269a0a1c35dd23f4d80010
round1__x3__proof__imo_1967_p3__seed0,round1,x3,proof,imo_1967_p3,0,False,False,0.06325834,0.11366499999999999,27,27,458105,280037,18370,6470581f6434fdcbc10810cac84cd2c442ee1fac59fbe607e4f267f35e0187bd,b98f7ebe7a507b8bd70839f4104f8f4cdd6d00a3e4a0b24d554713c1002b701b,836918d4745fa1367b9837e98e93a6d595b6809167dfab57ae68fad32aa18f81,,ea3751390d553763b7bb368868aedf2ec72e0353a3b2980d6674d1dc76842589
round1__polished__proof__imo_1967_p3__seed0,round1,polished,proof,imo_1967_p3,0,False,False,0.0576039,0.178968,40,40,799122,674245,15953,30bd01a797321dd7897a928ff647f838164fc3ba607d31fb0951e8784a9faa20,5246ca2b8ebb89dc906f7212f1224d4eed7c67e9b1f779a97c69c7a77e8311a9,a1745c07a1fc4f839a263a75967b3d6f8641dfb747394e79353c0fa7d9d5ba83,,3bdf4295b0bbbc6a613c320287191da1cbbcd2ad5546085c933872b219400dca
round1__x3__proof__imo_1977_p6__seed0,round1,x3,proof,imo_1977_p6,0,False,False,0.06930512,0.0996362,23,23,338125,168506,26676,6470581f6434fdcbc10810cac84cd2c442ee1fac59fbe607e4f267f35e0187bd,a12f93c8217fc5792c759cae7b89244c54c9357f2e8b9013536a7956b245c4fd,a7334dc22e583d3369700b6f40e862e4f75d6d9fb87ae61ada0879e44f0673db,,9b06037dcce0d608ca104697c3c257e66bb141f9f62a64101a45ddca4b38079b
round1__polished__proof__imo_1977_p6__seed0,round1,polished,proof,imo_1977_p6,0,False,False,0.061763359999999996,0.0981896,23,23,326326,202368,27437,30bd01a797321dd7897a928ff647f838164fc3ba607d31fb0951e8784a9faa20,2b3745a82f20c9e2a3492a70fce1aa6d11ce5ff6f2d581d9e3cb6b2d8b3d303c,6153095de92b3e370186192f5ec4e05a817e5052e5065a137fcaebac6184079f,,593a13a55102fb3c5fd6559851bd4fa00f1391345f214c6fd8f35f48e726b474
round1__examples__proof__imo_1977_p6__seed0,round1,examples,proof,imo_1977_p6,0,False,False,0.06584061999999999,0.1359022,27,27,535943,389231,23928,e66c5939f05d38baf07e1faaa2da6b9cf22d05840126b839c0e55d8dbded20fc,ec885ac7530f88bd72ab52eb26bd88817e5f56ce01d0482794effbf8b338ef44,ffc749ed2c6b78ccee038401e4ed31c92549bcdf18e602c4652aa8fb372d66e2,,cd296ab80cde3a2dde137e7a5fe1630bcd75204bc60d4bd7ec07a77bd2146a4b
round1__polished__proof__mathd_algebra_37__seed0,round1,polished,proof,mathd_algebra_37,0,False,True,0.00044765999999999995,0.0013248,1,1,5970,4873,109,30bd01a797321dd7897a928ff647f838164fc3ba607d31fb0951e8784a9faa20,76f1240581b6096ad47c25983b835e4e25f4341544bb29bd29d8d916f9d91791,3e10e430a24ca607003fb01d584d9ed452917c5c67e856293979cae042c4226e,8890c5ea088f3234ae2893ea758db6684c1277648894e5608503f6b7a2c8d415,ddfb1c2946306305a315c836d81ff942b06a00bb9926301710742525966313bd
round1__examples__proof__mathd_algebra_37__seed0,round1,examples,proof,mathd_algebra_37,0,False,True,0.00055642,0.0024448,1,1,11588,10491,106,e66c5939f05d38baf07e1faaa2da6b9cf22d05840126b839c0e55d8dbded20fc,39f29bb3d7c734b8aac3abf6018a504e9c41af307d9fd3bf83dd1188fb7a0896,f5dff1c6c17356ff4d5689e984635fe073be07e0ba4412113d79914f82d8cc78,8890c5ea088f3234ae2893ea758db6684c1277648894e5608503f6b7a2c8d415,ee6d5774c258e3605b00dafd966d1d227cca2d32b97722d7297f5bfd287c157a
round1__x3__proof__mathd_algebra_37__seed0,round1,x3,proof,mathd_algebra_37,0,False,True,0.00046484,0.0013238,1,1,5869,4772,125,6470581f6434fdcbc10810cac84cd2c442ee1fac59fbe607e4f267f35e0187bd,1430d01ec9fd421dcfe50f3c096806f8ff248864ae626b0026b97d7d1059229c,9ce44bfb504e21faa42de1fcd516bd8dcd59e00d0a93cc04cd594526d86e318b,8890c5ea088f3234ae2893ea758db6684c1277648894e5608503f6b7a2c8d415,5ed92d0900a5e2e335be4304cfbbaea2116229989f187c35d3e975a4584aba5f
round1__examples__proof__mathd_numbertheory_221__seed0,round1,examples,proof,mathd_numbertheory_221,0,False,True,0.0025472,0.0025472,1,1,11788,0,158,e66c5939f05d38baf07e1faaa2da6b9cf22d05840126b839c0e55d8dbded20fc,a2cc112a9fc55efef5989180571123f906126ef75a63a01a14f458334bb5a0b8,ef69623a30edd9ea90d4e818217e743ea7422b8f13c8b2ceb1ab584a816262ff,7825dd8dbf60f18c9147692491c3ca5768ae3b745cd0fe9c83c01baac59a6cd7,c271748c5973a3fa946f362d5b83aefe4fa7833c85d63ab8f055eea59c27b676
round1__x3__proof__mathd_numbertheory_221__seed0,round1,x3,proof,mathd_numbertheory_221,0,False,True,0.00057924,0.0014382,1,1,6069,4772,187,6470581f6434fdcbc10810cac84cd2c442ee1fac59fbe607e4f267f35e0187bd,eab1bb35c1f5d8862e00604b1817a6caeac7599c418399f25d06b4bab77c2852,39829a19a65d2b4e5796dad2ccf77b9cf790d9dadcd0eed46b1ddc05bad74ca5,7825dd8dbf60f18c9147692491c3ca5768ae3b745cd0fe9c83c01baac59a6cd7,de1ae091047ab4a87c4abcd85eb7d6a39dd45303bb50324fbbd62ac74e33d45d
round1__polished__proof__mathd_numbertheory_221__seed0,round1,polished,proof,mathd_numbertheory_221,0,False,True,0.0013779999999999999,0.0013779999999999999,1,1,6170,0,120,30bd01a797321dd7897a928ff647f838164fc3ba607d31fb0951e8784a9faa20,88d6c9cbefe09221dcc53b48ca725da667614f4444e3230cd4c5d5b260987fb9,1413afc94794d35dd31d2fb981e71513d1f846179bec143fc057f85e42519326,7825dd8dbf60f18c9147692491c3ca5768ae3b745cd0fe9c83c01baac59a6cd7,06f8f79bda5bdceac54cf9797685143f97806f85109a9a23744cf29e235a1ef9
round1__x3__proof__mathd_numbertheory_326__seed0,round1,x3,proof,mathd_numbertheory_326,0,False,True,0.00050164,0.0013606,1,1,5939,4772,144,6470581f6434fdcbc10810cac84cd2c442ee1fac59fbe607e4f267f35e0187bd,a287c682bf8fcff27b955826c330ea1079dc2b0226914d1ae4afe07db3069ceb,324993eb026d6a941d055507ea0d7e431533defc954236130fcef8fca08f3e4c,cf007c323ef41bd72d13634364ff9b4c3400391a4fa0481074ae0ed6f2cae1b3,8a7e1aa0185aa129d6ee03f7622a119bd24ac632e428ab18676442e3d9c6f1d6
round1__polished__proof__mathd_numbertheory_326__seed0,round1,polished,proof,mathd_numbertheory_326,0,False,True,0.00048926,0.0013663999999999998,1,1,6040,4873,132,30bd01a797321dd7897a928ff647f838164fc3ba607d31fb0951e8784a9faa20,7d4ddf4adae1876147f277128036bfc3c6cf95c1e2bca3d2e0b89042281cc977,0dd189621dfceff4563dbad32e61ff1cb0dd06a216ad052bb1cb7fa793e8b1ba,cf007c323ef41bd72d13634364ff9b4c3400391a4fa0481074ae0ed6f2cae1b3,3598b87cbb3cbe5da5305c0b245411bba08a35356f2f16e104ad83fa3ec0d3b9
round1__examples__proof__mathd_numbertheory_326__seed0,round1,examples,proof,mathd_numbertheory_326,0,False,True,0.00060642,0.0024948,1,1,11658,10491,136,e66c5939f05d38baf07e1faaa2da6b9cf22d05840126b839c0e55d8dbded20fc,c811f2560c1b585741b03cacd8baffb2930ab8067aad4625d11212bfbd153c9e,4a2187e21f18f104ef73818fcf9a344119f1449e1576c394776d95527595ed47,cf007c323ef41bd72d13634364ff9b4c3400391a4fa0481074ae0ed6f2cae1b3,9e42f4eb05d0d6d80e5b01eeccdc525f84a363737d0bca81c329b963a7b7a601
round1__polished__proof__mathd_algebra_323__seed0,round1,polished,proof,mathd_algebra_323,0,False,True,0.00575536,0.0109858,5,5,39251,29058,2613,30bd01a797321dd7897a928ff647f838164fc3ba607d31fb0951e8784a9faa20,b5cf093163cafacb9a3ae34ea4fc04327663148e32f34652ec1c6268ecb3f404,359246d9ecec93c0ff3c0d02e63864fbee03a32c947ef64e0d0d02056d2c18a3,3d2239ea7d63ae7a3f21087127e1c7664bd1e31c5b58ad46685cbc1022a4eeae,29573f13c4571ec574a9146f064840c5901a8a2a1fa15e23ee9496149e375999
round1__examples__proof__mathd_algebra_323__seed0,round1,examples,proof,mathd_algebra_323,0,False,True,0.00502714,0.009042399999999999,3,3,37196,22307,1336,e66c5939f05d38baf07e1faaa2da6b9cf22d05840126b839c0e55d8dbded20fc,fff706ab936eb80c9295179338c41f526beb40a655fdd9452784944ffa97e85b,52797c046115aac715094f73f2bd35cb3a08ac36709b02712c97b423220bb0ff,026628f851d90d3d0a703ab3bb7c0410d01621c4a0ef0edcf06eccaddf833188,bb9a0b3aa12eebfb7c8d038831d2d1df41bf8e16ba0b3292586325dd21e1cfef
round1__x3__proof__mathd_algebra_323__seed0,round1,x3,proof,mathd_algebra_323,0,False,True,0.00609458,0.0154706,8,8,60301,52089,2842,6470581f6434fdcbc10810cac84cd2c442ee1fac59fbe607e4f267f35e0187bd,176d9fa28d2eb433a3dbb76c02e0979dc4b100dd61c5f6519e104dedbe994e0b,4df0362b6c4214967f53b2aaede15de625d2932a288e9c3babbd8376bb0aa7c8,ab4f041cdf6d0fef2563edb6afbf0d4f3599d1bb950f3b3a47e9ff570df2d01e,2170876a509547239ec61afff37653fdbd962b872c71ea595b823f7ca7d6f36d
round1__examples__proof__aime_1988_p3__seed0,round1,examples,proof,aime_1988_p3,0,False,True,0.03644388,0.0656262,13,13,251145,162124,12831,e66c5939f05d38baf07e1faaa2da6b9cf22d05840126b839c0e55d8dbded20fc,dfde9af63c6759b42ecbc985aa96e44303b3d54bf4e7a17cb2d98aa6955be038,ef97a10ed113a814d27acfb7f00a33b3045b908b64cedc9301254fae0c222f21,861a090c89bfd7ce9f4e8bf0139bc6b1354a900243567ffb6d1cdd56eb2c2b47,1546ba6c026644542dde46ed155a251fba32a92e81ec8817dbbefd33ae4b4c85
round1__x3__proof__aime_1988_p3__seed0,round1,x3,proof,aime_1988_p3,0,False,False,0.06634749999999999,0.0969178,21,21,366971,169835,19603,6470581f6434fdcbc10810cac84cd2c442ee1fac59fbe607e4f267f35e0187bd,aebe3b419bb5e5ea1830d1b042fb3a7cc87225718e685f0535bfef65d23e4b1c,2a46696d72cb2d5d88caeea4603a440dc0e56e0beb6bcb40b98b9b585ad19d31,,ffd581b083711fa3ef905c0d40510b1deb620b99c4a587dfffc68bf415bfe2c4
round1__polished__proof__aime_1988_p3__seed0,round1,polished,proof,aime_1988_p3,0,False,False,0.0663438,0.0983964,21,21,367578,178070,20734,30bd01a797321dd7897a928ff647f838164fc3ba607d31fb0951e8784a9faa20,a7c41370497b02ba7ddc02a90d28046918802b38d8722658acea7eef6932821e,726c61dce6e70ecc02246370d28a8bfaf1962fb00982fb7ea743cba3adee52cd,,228ed068626c2f7674af3eda15d7d1e72a9ccf2a8d401e5c9adf8ed41787eae5
round1__x3__proof__imo_1963_p5__seed0,round1,x3,proof,imo_1963_p5,0,False,True,0.01353234,0.0420834,17,17,181935,158617,4747,6470581f6434fdcbc10810cac84cd2c442ee1fac59fbe607e4f267f35e0187bd,03874b9a57ff650f0d16adb713768b85eed038daff47c10c0002bdf7f7f98d7a,10c0f53e1499c18309aee4630bbe5e15b9a21c6bdf74f149374d203025e8217a,e56736d1873604a3a5a1dc19c684220b5091a73cf8c80525e4a3ba4ca815f348,151416e4f9060ec49c1731fbee23ca9894ca624cc7655e0945932c93bc39448b
round1__polished__proof__imo_1963_p5__seed0,round1,polished,proof,imo_1963_p5,0,False,True,0.01840634,0.0363338,11,11,138307,99597,7227,30bd01a797321dd7897a928ff647f838164fc3ba607d31fb0951e8784a9faa20,65dedea7d65fccb0030c488147c363627b82585bb4fd33656de653ea11af0215,5acb89cfa0fd176c193ced9cb88934ecbd3b60d3cbfc1dccbc3c2164d47ae7fa,1e7f15686fb305a4751607ad3d40d76088c65b870da1cd3a4eaa5503e64a293a,175c62851a030fca5a6270c0d5c7c72227d2e014820d1e333bac83e7ab2badea
round1__examples__proof__imo_1963_p5__seed0,round1,examples,proof,imo_1963_p5,0,False,True,0.01521468,0.0472608,13,13,199224,178034,6180,e66c5939f05d38baf07e1faaa2da6b9cf22d05840126b839c0e55d8dbded20fc,f57e0dc7f30c12c340e37511db09e008d844d0eae3d57a6f0db37127a35ab909,8db22bc00d03732b5a6cda01b0ee7bacd33851c991d08491c003dcb0772f4ff0,f1e92b8197a41f72408c826ba6444b5e89a235e0a12a05b842a35b64b5a6fe76,ec9fbbd47e074c96b7e00f1d367ab122caf7ef38b87c0f3da146919739cbd33e
round1__polished__proof__amc12b_2004_p3__seed0,round1,polished,proof,amc12b_2004_p3,0,False,False,0.0336209,0.053456,16,16,187966,110195,13219,30bd01a797321dd7897a928ff647f838164fc3ba607d31fb0951e8784a9faa20,1aef166f2de8206b52b9dfcf0230e85892b179fb7ef810266702e2bbf01c5217,baf59d4f5b1e74bdb42f72620c25e470900ec9fa99e83cffd2cf9cdfc5f3c67e,,26cf140e06d63939528d7cabafb8ed8b98f7d36b022123b89a818d75bccb5665
round1__examples__proof__amc12b_2004_p3__seed0,round1,examples,proof,amc12b_2004_p3,0,False,False,0.05694306,0.11326199999999999,20,20,459042,312883,17878,e66c5939f05d38baf07e1faaa2da6b9cf22d05840126b839c0e55d8dbded20fc,65650b94a068b0d752dc978d01924ab359500a0f8ad590dc1885123c73f27230,515fe96d6c3f589f1c446f1992f5ff5d8eb16b3b94593d898196e42e1058421c,,8dbd72967f3a9bdfad3e34f21094706cb3871fc49e0a1d63ff956fccba46b37d
