administrative,book,cached_input_tokens,cost,exceptions,failed,historical,input_tokens,model,output_tokens,requests,rocq_seconds,solved,source,status,theorem,token_cost,new_charge
False,luna,11854.0,0.00092788,{},False,True,12284.0,gpt-5.6-luna,504.0,2,0.5981500078924,True,experiments/output/ace_polish_validation/configs/mathd_numbertheory_33__reference-r64__gpt-5.6-luna__seed0,done,mathd_numbertheory_33,0.00092788,
False,luna,25345.0,0.0078697,{},False,True,43559.0,gpt-5.6-luna,3100.0,5,1.011871138587594,True,experiments/output/ace_polish_validation/configs/imo_1981_p6__reference-r64__gpt-5.6-luna__seed0,done,imo_1981_p6,0.0078697,
False,luna,204265.0,0.035652699999999996,{},False,True,299666.0,gpt-5.6-luna,10406.0,23,1.8095622584223747,True,experiments/output/ace_polish_validation/configs/aime_1991_p9__reference-r64__gpt-5.6-luna__seed0,done,aime_1991_p9,0.035652699999999996,
False,luna,509062.0,0.040915639999999996,{},False,True,622114.0,gpt-5.6-luna,6770.0,27,12.249955297913402,False,experiments/output/ace_polish_validation/configs/amc12a_2019_p21__reference-r64__gpt-5.6-luna__seed0,done,amc12a_2019_p21,0.040915639999999996,
False,luna,5963.0,0.00034186000000000004,{},False,True,5966.0,gpt-5.6-luna,185.0,1,0.5678684283047915,True,experiments/output/ace_polish_validation/configs/mathd_algebra_251__reference-r64__gpt-5.6-luna__seed0,done,mathd_algebra_251,0.00034186000000000004,
False,luna,225498.0,0.018928359999999998,{},False,True,255428.0,gpt-5.6-luna,7027.0,23,245.70674727251753,False,experiments/output/ace_polish_validation/configs/mathd_numbertheory_37__reference-r64__gpt-5.6-luna__seed0,done,mathd_numbertheory_37,0.018928359999999998,
False,luna,216104.0,0.03317128,{},False,True,285968.0,gpt-5.6-luna,12397.0,20,251.23647937737405,False,experiments/output/ace_polish_validation/configs/imo_1984_p6__reference-r64__gpt-5.6-luna__seed0,done,imo_1984_p6,0.03317128,
False,luna,217135.0,0.0363663,{},False,True,308055.0,gpt-5.6-luna,11533.0,21,61.712787768337876,False,experiments/output/ace_polish_validation/configs/amc12a_2020_p21__reference-r64__gpt-5.6-luna__seed0,done,amc12a_2020_p21,0.0363663,
False,luna,250478.0,0.03626396,{},False,True,344590.0,gpt-5.6-luna,10360.0,20,20.888310491107404,False,experiments/output/ace_polish_validation/configs/mathd_algebra_282__reference-r64__gpt-5.6-luna__seed0,done,mathd_algebra_282,0.03626396,
False,luna,51102.0,0.040541839999999996,{},False,True,140923.0,gpt-5.6-luna,17963.0,10,2.306782115250826,False,experiments/output/ace_polish_validation/configs/mathd_numbertheory_405__reference-r64__gpt-5.6-luna__seed0,done,mathd_numbertheory_405,0.040541839999999996,
False,luna,30243.0,0.005691659999999999,{},False,True,39957.0,gpt-5.6-luna,2620.0,5,6.611750399228185,True,experiments/output/ace_polish_validation/configs/amc12b_2002_p3__reference-r64__gpt-5.6-luna__seed0,done,amc12b_2002_p3,0.005691659999999999,
False,luna,11922.0,0.00129784,{},False,True,15161.0,gpt-5.6-luna,343.0,2,0.048149518202990294,True,experiments/output/ace_polish_validation/configs/mathd_algebra_327__reference-r64__gpt-5.6-luna__seed0,done,mathd_algebra_327,0.00129784,
False,luna,367420.0,0.019050199999999996,{},False,True,384079.0,gpt-5.6-luna,6975.0,29,248.92582086892799,False,experiments/output/ace_polish_validation/configs/mathd_numbertheory_43__reference-r64__gpt-5.6-luna__seed0,done,mathd_numbertheory_43,0.019050199999999996,
False,luna,73005.0,0.023090899999999998,{},False,True,123457.0,gpt-5.6-luna,9617.0,12,1.3294993811286986,True,experiments/output/ace_polish_validation/configs/amc12b_2003_p6__reference-r64__gpt-5.6-luna__seed0,done,amc12b_2003_p6,0.023090899999999998,
False,luna,87199.0,0.01220498,{},False,True,107146.0,gpt-5.6-luna,5393.0,11,1.1969009963795543,True,experiments/output/ace_polish_validation/configs/mathd_algebra_393__reference-r64__gpt-5.6-luna__seed0,done,mathd_algebra_393,0.01220498,
False,luna,4772.0,0.0006368400000000001,{},False,True,5997.0,gpt-5.6-luna,247.0,1,0.5630310880951583,True,experiments/output/ace_polish_validation/configs/mathd_numbertheory_461__reference-r64__gpt-5.6-luna__seed0,done,mathd_numbertheory_461,0.0006368400000000001,
False,luna,6206.0,0.00033951999999999995,{},False,True,6209.0,gpt-5.6-luna,179.0,1,0.8506736541166902,True,experiments/output/ace_polish_validation/configs/amc12b_2020_p5__reference-r64__gpt-5.6-luna__seed0,done,amc12b_2020_p5,0.00033951999999999995,
False,luna,17659.0,0.00162758,{},False,True,19747.0,gpt-5.6-luna,714.0,3,0.6461784359999001,True,experiments/output/ace_polish_validation/configs/mathd_algebra_421__reference-r64__gpt-5.6-luna__seed0,done,mathd_algebra_421,0.00162758,
False,luna,239102.0,0.035738439999999996,{},False,True,336170.0,gpt-5.6-luna,9619.0,20,1.9839903195388615,False,experiments/output/ace_polish_validation/configs/mathd_numbertheory_530__reference-r64__gpt-5.6-luna__seed0,done,mathd_numbertheory_530,0.035738439999999996,
False,luna,41831.0,0.01450842,{},False,True,61698.0,gpt-5.6-luna,8082.0,8,215.0017948881723,True,experiments/output/ace_polish_validation/configs/amc12_2000_p12__reference-r64__gpt-5.6-luna__seed0,done,amc12_2000_p12,0.01450842,
False,luna,15452.0,0.0018152399999999999,{},False,True,20625.0,gpt-5.6-luna,393.0,3,0.9762793551199138,True,experiments/output/ace_polish_validation/configs/mathd_algebra_433__reference-r64__gpt-5.6-luna__seed0,done,mathd_algebra_433,0.0018152399999999999,
False,luna,76498.0,0.00614216,{},False,True,83119.0,gpt-5.6-luna,2740.0,11,2.3280678964219987,True,experiments/output/ace_polish_validation/configs/mathd_numbertheory_64__reference-r64__gpt-5.6-luna__seed0,done,mathd_numbertheory_64,0.00614216,
False,luna,345164.0,0.03846148,{},False,True,409067.0,gpt-5.6-luna,15648.0,35,25.683713886421174,False,experiments/output/ace_polish_validation/configs/amc12_2001_p21__reference-r64__gpt-5.6-luna__seed0,done,amc12_2001_p21,0.03846148,
False,luna,4772.0,0.00055204,{},False,True,6005.0,gpt-5.6-luna,175.0,1,0.5837038396857679,True,experiments/output/ace_polish_validation/configs/amc12a_2002_p6__reference-r64__gpt-5.6-luna__seed0,done,amc12a_2002_p6,0.00055204,
False,none,222950.0,0.039185399999999995,{},False,True,342450.0,gpt-5.6-luna,9022.0,24,1.9443514496088028,False,experiments/output/ace_attribution_20260912/validation/luna-none/configs/imo_1960_p2__luna-none-medium__gpt-5.6-luna__seed0,done,imo_1960_p2,0.039185399999999995,
False,none,108651.0,0.03157002,{},False,True,210534.0,gpt-5.6-luna,7517.0,11,31.47445134073496,False,experiments/output/ace_attribution_20260912/validation/luna-none/configs/aime_1991_p6__luna-none-medium__gpt-5.6-luna__seed0,done,aime_1991_p6,0.03157002,
False,none,61831.0,0.02006062,{},False,True,107807.0,gpt-5.6-luna,8024.0,14,1.5333639923483133,True,experiments/output/ace_attribution_20260912/validation/luna-none/configs/amc12a_2008_p4__luna-none-medium__gpt-5.6-luna__seed0,done,amc12a_2008_p4,0.02006062,
False,none,45145.0,0.0229819,{},False,True,108176.0,gpt-5.6-luna,7894.0,11,1.3187483120709658,True,experiments/output/ace_attribution_20260912/validation/luna-none/configs/induction_prod1p1onk3le3m1onn__luna-none-medium__gpt-5.6-luna__seed0,done,induction_prod1p1onk3le3m1onn,0.0229819,
False,none,249674.0,0.03804408,{},False,True,354207.0,gpt-5.6-luna,10120.0,24,3.7107405699789524,False,experiments/output/ace_attribution_20260912/validation/luna-none/configs/algebra_others_exirrpowirrrat__luna-none-medium__gpt-5.6-luna__seed0,done,algebra_others_exirrpowirrrat,0.03804408,
False,none,6355.0,0.0005643,{},False,True,7755.0,gpt-5.6-luna,131.0,2,0.5785716408863664,True,experiments/output/ace_attribution_20260912/validation/luna-none/configs/mathd_algebra_190__luna-none-medium__gpt-5.6-luna__seed0,done,mathd_algebra_190,0.0005643,
False,none,2607.0,0.00038374,{},False,True,3785.0,gpt-5.6-luna,80.0,1,0.8964269105345011,True,experiments/output/ace_attribution_20260912/validation/luna-none/configs/mathd_numbertheory_284__luna-none-medium__gpt-5.6-luna__seed0,done,mathd_numbertheory_284,0.00038374,
False,none,33896.0,0.01614792,{},False,True,67026.0,gpt-5.6-luna,7370.0,9,1.6969933696091175,True,experiments/output/ace_attribution_20260912/validation/luna-none/configs/imo_1964_p2__luna-none-medium__gpt-5.6-luna__seed0,done,imo_1964_p2,0.01614792,
False,none,23463.0,0.033174659999999995,{},False,True,101334.0,gpt-5.6-luna,14276.0,9,2.470364959910512,True,experiments/output/ace_attribution_20260912/validation/luna-none/configs/aime_1984_p7__luna-none-medium__gpt-5.6-luna__seed0,done,aime_1984_p7,0.033174659999999995,
False,none,30440.0,0.0060254,{},False,True,40945.0,gpt-5.6-luna,2763.0,8,1.3349443189799786,True,experiments/output/ace_attribution_20260912/validation/luna-none/configs/amc12a_2013_p8__luna-none-medium__gpt-5.6-luna__seed0,done,amc12a_2013_p8,0.0060254,
False,none,7821.0,0.00205382,{},False,True,12694.0,gpt-5.6-luna,769.0,3,1.0316706812009215,True,experiments/output/ace_attribution_20260912/validation/luna-none/configs/mathd_algebra_214__luna-none-medium__gpt-5.6-luna__seed0,done,mathd_algebra_214,0.00205382,
False,none,168972.0,0.036631239999999995,{},False,True,246605.0,gpt-5.6-luna,14771.0,23,29.02528872154653,False,experiments/output/ace_attribution_20260912/validation/luna-none/configs/mathd_numbertheory_303__luna-none-medium__gpt-5.6-luna__seed0,done,mathd_numbertheory_303,0.036631239999999995,
False,none,173156.0,0.041473319999999994,{},False,True,293973.0,gpt-5.6-luna,11539.0,21,3.2393713453784585,False,experiments/output/ace_attribution_20260912/validation/luna-none/configs/imo_1969_p2__luna-none-medium__gpt-5.6-luna__seed0,done,imo_1969_p2,0.041473319999999994,
False,none,2607.0,0.00048434,{},False,True,4378.0,gpt-5.6-luna,65.0,1,0.6005651019513607,True,experiments/output/ace_attribution_20260912/validation/luna-none/configs/aime_1989_p8__luna-none-medium__gpt-5.6-luna__seed0,done,aime_1989_p8,0.00048434,
False,none,15057.0,0.00682014,{},False,True,39072.0,gpt-5.6-luna,1430.0,4,1.300926897674799,True,experiments/output/ace_attribution_20260912/validation/luna-none/configs/amc12a_2016_p3__luna-none-medium__gpt-5.6-luna__seed0,done,amc12a_2016_p3,0.00682014,
False,none,2607.0,0.00049274,{},False,True,3766.0,gpt-5.6-luna,174.0,1,1.0239558527246118,True,experiments/output/ace_attribution_20260912/validation/luna-none/configs/mathd_algebra_234__luna-none-medium__gpt-5.6-luna__seed0,done,mathd_algebra_234,0.00049274,
False,none,21395.0,0.0026127,{},False,True,25065.0,gpt-5.6-luna,1209.0,5,1.0532148350030184,True,experiments/output/ace_attribution_20260912/validation/luna-none/configs/mathd_numbertheory_33__luna-none-medium__gpt-5.6-luna__seed0,done,mathd_numbertheory_33,0.0026127,
False,none,40346.0,0.011709319999999999,{},False,True,64198.0,gpt-5.6-luna,5110.0,8,1.407856186851859,True,experiments/output/ace_attribution_20260912/validation/luna-none/configs/imo_1981_p6__luna-none-medium__gpt-5.6-luna__seed0,done,imo_1981_p6,0.011709319999999999,
False,none,159058.0,0.04211476,{},False,True,281462.0,gpt-5.6-luna,12044.0,26,2.415936753153801,False,experiments/output/ace_attribution_20260912/validation/luna-none/configs/aime_1991_p9__luna-none-medium__gpt-5.6-luna__seed0,done,aime_1991_p9,0.04211476,
False,none,280417.0,0.03950653999999999,{},False,True,414958.0,gpt-5.6-luna,5825.0,26,132.95662047248334,False,experiments/output/ace_attribution_20260912/validation/luna-none/configs/amc12a_2019_p21__luna-none-medium__gpt-5.6-luna__seed0,done,amc12a_2019_p21,0.03950653999999999,
False,none,47223.0,0.00682706,{},False,True,59416.0,gpt-5.6-luna,2870.0,11,1.3831090051680803,True,experiments/output/ace_attribution_20260912/validation/luna-none/configs/mathd_algebra_251__luna-none-medium__gpt-5.6-luna__seed0,done,mathd_algebra_251,0.00682706,
False,none,142772.0,0.03252764,{},False,True,252901.0,gpt-5.6-luna,6372.0,23,255.6560737155378,False,experiments/output/ace_attribution_20260912/validation/luna-none/configs/mathd_numbertheory_37__luna-none-medium__gpt-5.6-luna__seed0,done,mathd_numbertheory_37,0.03252764,
False,none,212716.0,0.03900012,{},False,True,329607.0,gpt-5.6-luna,9473.0,24,203.90252618584782,False,experiments/output/ace_attribution_20260912/validation/luna-none/configs/imo_1984_p6__luna-none-medium__gpt-5.6-luna__seed0,done,imo_1984_p6,0.03900012,
False,none,140967.0,0.04106614,{},False,True,247097.0,gpt-5.6-luna,14184.0,22,30.816170698031783,False,experiments/output/ace_attribution_20260912/validation/luna-none/configs/amc12a_2020_p21__luna-none-medium__gpt-5.6-luna__seed0,done,amc12a_2020_p21,0.04106614,
False,none,557805.0,0.0312497,{},False,True,619921.0,gpt-5.6-luna,6392.0,30,12.304561358876526,False,experiments/output/ace_attribution_20260912/validation/luna-none/configs/mathd_algebra_282__luna-none-medium__gpt-5.6-luna__seed0,done,mathd_algebra_282,0.0312497,
False,none,62672.0,0.03685584,{},False,True,149280.0,gpt-5.6-luna,15234.0,13,3.9803668512031436,False,experiments/output/ace_attribution_20260912/validation/luna-none/configs/mathd_numbertheory_405__luna-none-medium__gpt-5.6-luna__seed0,done,mathd_numbertheory_405,0.03685584,
False,none,182164.0,0.03719388,{},False,True,265455.0,gpt-5.6-luna,14077.0,20,1.6202915674075484,False,experiments/output/ace_attribution_20260912/validation/luna-none/configs/amc12b_2002_p3__luna-none-medium__gpt-5.6-luna__seed0,done,amc12b_2002_p3,0.03719388,
False,none,11528.0,0.00247056,{},False,True,19260.0,gpt-5.6-luna,578.0,3,0.8516604071483016,True,experiments/output/ace_attribution_20260912/validation/luna-none/configs/mathd_algebra_327__luna-none-medium__gpt-5.6-luna__seed0,done,mathd_algebra_327,0.00247056,
False,none,143334.0,0.018451679999999998,{},False,True,178689.0,gpt-5.6-luna,7095.0,20,264.35736165195704,False,experiments/output/ace_attribution_20260912/validation/luna-none/configs/mathd_numbertheory_43__luna-none-medium__gpt-5.6-luna__seed0,done,mathd_numbertheory_43,0.018451679999999998,
False,none,127907.0,0.024093539999999997,{},False,True,190854.0,gpt-5.6-luna,7455.0,19,1.827659297734499,True,experiments/output/ace_attribution_20260912/validation/luna-none/configs/amc12b_2003_p6__luna-none-medium__gpt-5.6-luna__seed0,done,amc12b_2003_p6,0.024093539999999997,
False,none,33592.0,0.0072076399999999995,{},False,True,42961.0,gpt-5.6-luna,3885.0,7,1.1316549992188811,True,experiments/output/ace_attribution_20260912/validation/luna-none/configs/mathd_algebra_393__luna-none-medium__gpt-5.6-luna__seed0,done,mathd_algebra_393,0.0072076399999999995,
False,none,2607.0,0.0004723399999999999,{},False,True,3802.0,gpt-5.6-luna,151.0,1,0.5950317233800888,True,experiments/output/ace_attribution_20260912/validation/luna-none/configs/mathd_numbertheory_461__luna-none-medium__gpt-5.6-luna__seed0,done,mathd_numbertheory_461,0.0004723399999999999,
False,none,2607.0,0.00053394,{},False,True,4014.0,gpt-5.6-luna,167.0,1,0.8313462752848864,True,experiments/output/ace_attribution_20260912/validation/luna-none/configs/amc12b_2020_p5__luna-none-medium__gpt-5.6-luna__seed0,done,amc12b_2020_p5,0.00053394,
False,none,13602.0,0.00219164,{},False,True,17968.0,gpt-5.6-luna,872.0,4,1.130322601646185,True,experiments/output/ace_attribution_20260912/validation/luna-none/configs/mathd_algebra_421__luna-none-medium__gpt-5.6-luna__seed0,done,mathd_algebra_421,0.00219164,
False,none,208599.0,0.04096698,{},False,True,325944.0,gpt-5.6-luna,11105.0,24,2.459989320486784,False,experiments/output/ace_attribution_20260912/validation/luna-none/configs/mathd_numbertheory_530__luna-none-medium__gpt-5.6-luna__seed0,done,mathd_numbertheory_530,0.04096698,
False,none,21156.0,0.00550832,{},False,True,32812.0,gpt-5.6-luna,2295.0,6,61.89080027397722,True,experiments/output/ace_attribution_20260912/validation/luna-none/configs/amc12_2000_p12__luna-none-medium__gpt-5.6-luna__seed0,done,amc12_2000_p12,0.00550832,
False,none,18000.0,0.0036559999999999995,{},False,True,29242.0,gpt-5.6-luna,873.0,6,1.3009797427803278,True,experiments/output/ace_attribution_20260912/validation/luna-none/configs/mathd_algebra_433__luna-none-medium__gpt-5.6-luna__seed0,done,mathd_algebra_433,0.0036559999999999995,
False,none,40784.0,0.00915588,{},False,True,51423.0,gpt-5.6-luna,5177.0,9,2.1315418649464846,True,experiments/output/ace_attribution_20260912/validation/luna-none/configs/mathd_numbertheory_64__luna-none-medium__gpt-5.6-luna__seed0,done,mathd_numbertheory_64,0.00915588,
False,none,105165.0,0.044615499999999995,{},False,True,225368.0,gpt-5.6-luna,15393.0,22,293.77930776495486,False,experiments/output/ace_attribution_20260912/validation/luna-none/configs/amc12_2001_p21__luna-none-medium__gpt-5.6-luna__seed0,done,amc12_2001_p21,0.044615499999999995,
False,none,2607.0,0.00043074,{},False,True,3810.0,gpt-5.6-luna,115.0,1,0.6356763495132327,True,experiments/output/ace_attribution_20260912/validation/luna-none/configs/amc12a_2002_p6__luna-none-medium__gpt-5.6-luna__seed0,done,amc12a_2002_p6,0.00043074,
False,none,176551.0,0.2414062,{},False,True,232319.0,gpt-5.6-terra,7880.0,24,2.083590291440487,True,experiments/output/ace_attribution_20260912/validation/terra/configs/imo_1960_p2__terra-none-medium__gpt-5.6-terra__seed0,done,imo_1960_p2,0.2414062,
False,none,179171.0,0.4262602,{},False,True,241844.0,gpt-5.6-terra,22090.0,20,50.91638120729476,False,experiments/output/ace_attribution_20260912/validation/terra/configs/aime_1991_p6__terra-none-medium__gpt-5.6-terra__seed0,done,aime_1991_p6,0.4262602,
False,none,17062.0,0.08079839999999999,{},False,True,37143.0,gpt-5.6-terra,3102.0,6,1.2797683998942375,True,experiments/output/ace_attribution_20260912/validation/terra/configs/amc12a_2008_p4__terra-none-medium__gpt-5.6-terra__seed0,done,amc12a_2008_p4,0.08079839999999999,
False,none,92374.0,0.2561448,{},False,True,140877.0,gpt-5.6-terra,11722.0,17,1.4361050259321928,True,experiments/output/ace_attribution_20260912/validation/terra/configs/induction_prod1p1onk3le3m1onn__terra-none-medium__gpt-5.6-terra__seed0,done,induction_prod1p1onk3le3m1onn,0.2561448,
False,none,448195.0,0.40246499999999996,{},False,True,511818.0,gpt-5.6-terra,15465.0,39,2.652247034944594,False,experiments/output/ace_attribution_20260912/validation/terra/configs/algebra_others_exirrpowirrrat__terra-none-medium__gpt-5.6-terra__seed0,done,algebra_others_exirrpowirrrat,0.40246499999999996,
False,none,2607.0,0.0040454,{},False,True,3751.0,gpt-5.6-terra,103.0,1,0.5727185821160674,True,experiments/output/ace_attribution_20260912/validation/terra/configs/mathd_algebra_190__terra-none-medium__gpt-5.6-terra__seed0,done,mathd_algebra_190,0.0040454,
False,none,2607.0,0.0038494000000000002,{},False,True,3785.0,gpt-5.6-terra,81.0,1,0.9588490352034569,True,experiments/output/ace_attribution_20260912/validation/terra/configs/mathd_numbertheory_284__terra-none-medium__gpt-5.6-terra__seed0,done,mathd_numbertheory_284,0.0038494000000000002,
False,none,24223.0,0.0998766,{},False,True,39219.0,gpt-5.6-terra,5420.0,6,1.3655551262199879,True,experiments/output/ace_attribution_20260912/validation/terra/configs/imo_1964_p2__terra-none-medium__gpt-5.6-terra__seed0,done,imo_1964_p2,0.0998766,
False,none,66400.0,0.252738,{},False,True,128691.0,gpt-5.6-terra,9573.0,14,1.6514056771993637,True,experiments/output/ace_attribution_20260912/validation/terra/configs/aime_1984_p7__terra-none-medium__gpt-5.6-terra__seed0,done,aime_1984_p7,0.252738,
False,none,30957.0,0.07524739999999999,{},False,True,47263.0,gpt-5.6-terra,3037.0,8,1.3594013173133135,True,experiments/output/ace_attribution_20260912/validation/terra/configs/amc12a_2013_p8__terra-none-medium__gpt-5.6-terra__seed0,done,amc12a_2013_p8,0.07524739999999999,
False,none,2607.0,0.0044414,{},False,True,3877.0,gpt-5.6-terra,115.0,1,0.6922621922567487,True,experiments/output/ace_attribution_20260912/validation/terra/configs/mathd_algebra_214__terra-none-medium__gpt-5.6-terra__seed0,done,mathd_algebra_214,0.0044414,
False,none,221588.0,0.2366016,{},False,True,251346.0,gpt-5.6-terra,11064.0,31,2.6674328111112118,True,experiments/output/ace_attribution_20260912/validation/terra/configs/mathd_numbertheory_303__terra-none-medium__gpt-5.6-terra__seed0,done,mathd_numbertheory_303,0.2366016,
False,none,91441.0,0.42109219999999997,{},False,True,225991.0,gpt-5.6-terra,11142.0,15,2.5729706278070807,False,experiments/output/ace_attribution_20260912/validation/terra/configs/imo_1969_p2__terra-none-medium__gpt-5.6-terra__seed0,done,imo_1969_p2,0.42109219999999997,
False,none,2607.0,0.0046034,{},False,True,4378.0,gpt-5.6-terra,45.0,1,0.5889456663280725,True,experiments/output/ace_attribution_20260912/validation/terra/configs/aime_1989_p8__terra-none-medium__gpt-5.6-terra__seed0,done,aime_1989_p8,0.0046034,
False,none,25556.0,0.09181919999999999,{},False,True,48006.0,gpt-5.6-terra,3484.0,7,1.3865746036171913,True,experiments/output/ace_attribution_20260912/validation/terra/configs/amc12a_2016_p3__terra-none-medium__gpt-5.6-terra__seed0,done,amc12a_2016_p3,0.09181919999999999,
False,none,2607.0,0.0036674,{},False,True,3766.0,gpt-5.6-terra,69.0,1,0.6277612587437034,True,experiments/output/ace_attribution_20260912/validation/terra/configs/mathd_algebra_234__terra-none-medium__gpt-5.6-terra__seed0,done,mathd_algebra_234,0.0036674,
False,none,80658.0,0.11575959999999999,{},False,True,103388.0,gpt-5.6-terra,4514.0,12,3.8933462696149945,True,experiments/output/ace_attribution_20260912/validation/terra/configs/mathd_numbertheory_33__terra-none-medium__gpt-5.6-terra__seed0,done,mathd_numbertheory_33,0.11575959999999999,
False,none,19746.0,0.0871132,{},False,True,29540.0,gpt-5.6-terra,5298.0,5,0.9802703270688653,True,experiments/output/ace_attribution_20260912/validation/terra/configs/imo_1981_p6__terra-none-medium__gpt-5.6-terra__seed0,done,imo_1981_p6,0.0871132,
False,none,306472.0,0.19395240000000002,{},False,True,326013.0,gpt-5.6-terra,7798.0,31,1.741502401418984,True,experiments/output/ace_attribution_20260912/validation/terra/configs/aime_1991_p9__terra-none-medium__gpt-5.6-terra__seed0,done,aime_1991_p9,0.19395240000000002,
False,none,593305.0,0.266847,{},False,True,618606.0,gpt-5.6-terra,8132.0,34,2.3950434355065227,False,experiments/output/ace_attribution_20260912/validation/terra/configs/amc12a_2019_p21__terra-none-medium__gpt-5.6-terra__seed0,done,amc12a_2019_p21,0.266847,
False,none,13728.0,0.0216796,{},False,True,17465.0,gpt-5.6-terra,955.0,4,1.0419188812375069,True,experiments/output/ace_attribution_20260912/validation/terra/configs/mathd_algebra_251__terra-none-medium__gpt-5.6-terra__seed0,done,mathd_algebra_251,0.0216796,
False,none,475622.0,0.3038204,{},False,True,512734.0,gpt-5.6-terra,11206.0,43,181.0829207180068,True,experiments/output/ace_attribution_20260912/validation/terra/configs/mathd_numbertheory_37__terra-none-medium__gpt-5.6-terra__seed0,done,mathd_numbertheory_37,0.3038204,
False,none,140434.0,0.2397728,{},False,True,192409.0,gpt-5.6-terra,8978.0,20,243.71192286815494,False,experiments/output/ace_attribution_20260912/validation/terra/configs/imo_1984_p6__terra-none-medium__gpt-5.6-terra__seed0,done,imo_1984_p6,0.2397728,
