check,actual,expected
experiments/output/ace_attribution_20260912/validation/luna-none/configs/mathd_numbertheory_284__luna-none-medium__gpt-5.6-luna__seed0 repricing,0.00038374,0.00038374
experiments/output/ace_attribution_20260912/validation/luna-none/configs/imo_1964_p2__luna-none-medium__gpt-5.6-luna__seed0 repricing,0.01614792,0.01614792
experiments/output/ace_attribution_20260912/validation/luna-none/configs/aime_1984_p7__luna-none-medium__gpt-5.6-luna__seed0 repricing,0.033174659999999995,0.033174659999999995
experiments/output/ace_attribution_20260912/validation/luna-none/configs/amc12a_2013_p8__luna-none-medium__gpt-5.6-luna__seed0 repricing,0.0060254,0.0060254
experiments/output/ace_attribution_20260912/validation/luna-none/configs/mathd_algebra_214__luna-none-medium__gpt-5.6-luna__seed0 repricing,0.00205382,0.00205382
experiments/output/ace_attribution_20260912/validation/luna-none/configs/mathd_numbertheory_303__luna-none-medium__gpt-5.6-luna__seed0 repricing,0.036631239999999995,0.036631239999999995
experiments/output/ace_attribution_20260912/validation/luna-none/configs/imo_1969_p2__luna-none-medium__gpt-5.6-luna__seed0 repricing,0.041473319999999994,0.041473319999999994
experiments/output/ace_attribution_20260912/validation/luna-none/configs/aime_1989_p8__luna-none-medium__gpt-5.6-luna__seed0 repricing,0.00048434,0.00048434
experiments/output/ace_attribution_20260912/validation/luna-none/configs/amc12a_2016_p3__luna-none-medium__gpt-5.6-luna__seed0 repricing,0.00682014,0.00682014
experiments/output/ace_attribution_20260912/validation/luna-none/configs/mathd_algebra_234__luna-none-medium__gpt-5.6-luna__seed0 repricing,0.00049274,0.00049274
experiments/output/ace_attribution_20260912/validation/luna-none/configs/mathd_numbertheory_33__luna-none-medium__gpt-5.6-luna__seed0 repricing,0.0026127,0.0026127
experiments/output/ace_attribution_20260912/validation/luna-none/configs/imo_1981_p6__luna-none-medium__gpt-5.6-luna__seed0 repricing,0.011709319999999999,0.011709319999999999
experiments/output/ace_attribution_20260912/validation/luna-none/configs/aime_1991_p9__luna-none-medium__gpt-5.6-luna__seed0 repricing,0.04211476,0.04211476
experiments/output/ace_attribution_20260912/validation/luna-none/configs/amc12a_2019_p21__luna-none-medium__gpt-5.6-luna__seed0 repricing,0.03950653999999999,0.03950653999999999
experiments/output/ace_attribution_20260912/validation/luna-none/configs/mathd_algebra_251__luna-none-medium__gpt-5.6-luna__seed0 repricing,0.00682706,0.00682706
experiments/output/ace_attribution_20260912/validation/luna-none/configs/mathd_numbertheory_37__luna-none-medium__gpt-5.6-luna__seed0 repricing,0.03252764,0.03252764
experiments/output/ace_attribution_20260912/validation/luna-none/configs/imo_1984_p6__luna-none-medium__gpt-5.6-luna__seed0 repricing,0.03900012,0.03900012
experiments/output/ace_attribution_20260912/validation/luna-none/configs/amc12a_2020_p21__luna-none-medium__gpt-5.6-luna__seed0 repricing,0.04106614,0.04106614
experiments/output/ace_attribution_20260912/validation/luna-none/configs/mathd_algebra_282__luna-none-medium__gpt-5.6-luna__seed0 repricing,0.0312497,0.0312497
experiments/output/ace_attribution_20260912/validation/luna-none/configs/mathd_numbertheory_405__luna-none-medium__gpt-5.6-luna__seed0 repricing,0.03685584,0.03685584
experiments/output/ace_attribution_20260912/validation/luna-none/configs/amc12b_2002_p3__luna-none-medium__gpt-5.6-luna__seed0 repricing,0.03719388,0.03719388
experiments/output/ace_attribution_20260912/validation/luna-none/configs/mathd_algebra_327__luna-none-medium__gpt-5.6-luna__seed0 repricing,0.00247056,0.00247056
experiments/output/ace_attribution_20260912/validation/luna-none/configs/mathd_numbertheory_43__luna-none-medium__gpt-5.6-luna__seed0 repricing,0.018451679999999998,0.018451679999999998
experiments/output/ace_attribution_20260912/validation/luna-none/configs/amc12b_2003_p6__luna-none-medium__gpt-5.6-luna__seed0 repricing,0.024093539999999997,0.024093539999999997
experiments/output/ace_attribution_20260912/validation/luna-none/configs/mathd_algebra_393__luna-none-medium__gpt-5.6-luna__seed0 repricing,0.0072076399999999995,0.0072076399999999995
experiments/output/ace_attribution_20260912/validation/luna-none/configs/mathd_numbertheory_461__luna-none-medium__gpt-5.6-luna__seed0 repricing,0.0004723399999999999,0.0004723399999999999
experiments/output/ace_attribution_20260912/validation/luna-none/configs/amc12b_2020_p5__luna-none-medium__gpt-5.6-luna__seed0 repricing,0.00053394,0.00053394
experiments/output/ace_attribution_20260912/validation/luna-none/configs/mathd_algebra_421__luna-none-medium__gpt-5.6-luna__seed0 repricing,0.00219164,0.00219164
experiments/output/ace_attribution_20260912/validation/luna-none/configs/mathd_numbertheory_530__luna-none-medium__gpt-5.6-luna__seed0 repricing,0.04096698,0.04096698
experiments/output/ace_attribution_20260912/validation/luna-none/configs/amc12_2000_p12__luna-none-medium__gpt-5.6-luna__seed0 repricing,0.00550832,0.00550832
experiments/output/ace_attribution_20260912/validation/luna-none/configs/mathd_algebra_433__luna-none-medium__gpt-5.6-luna__seed0 repricing,0.0036559999999999995,0.0036559999999999995
experiments/output/ace_attribution_20260912/validation/luna-none/configs/mathd_numbertheory_64__luna-none-medium__gpt-5.6-luna__seed0 repricing,0.00915588,0.00915588
experiments/output/ace_attribution_20260912/validation/luna-none/configs/amc12_2001_p21__luna-none-medium__gpt-5.6-luna__seed0 repricing,0.044615499999999995,0.044615499999999995
experiments/output/ace_attribution_20260912/validation/luna-none/configs/amc12a_2002_p6__luna-none-medium__gpt-5.6-luna__seed0 repricing,0.00043074,0.00043074
gpt-5.6-luna/terra count,40,40
gpt-5.6-luna/terra cost,0.73419426,0.73419426
gpt-5.6-luna/terra solves,24,24
experiments/output/ace_attribution_20260912/swaps/configs/amc12a_2008_p4__luna-terra-book-medium__gpt-5.6-luna__seed0 repricing,0.026315859999999996,0.026315859999999996
experiments/output/ace_attribution_20260912/swaps/configs/induction_prod1p1onk3le3m1onn__luna-terra-book-medium__gpt-5.6-luna__seed0 repricing,0.022937319999999997,0.022937319999999997
experiments/output/ace_attribution_20260912/swaps/configs/imo_1981_p6__luna-terra-book-medium__gpt-5.6-luna__seed0 repricing,0.007453039999999999,0.007453039999999999
experiments/output/ace_attribution_20260912/swaps/configs/amc12a_2019_p21__luna-terra-book-medium__gpt-5.6-luna__seed0 repricing,0.03550668,0.03550668
experiments/output/ace_attribution_20260912/swaps/configs/mathd_numbertheory_43__luna-terra-book-medium__gpt-5.6-luna__seed0 repricing,0.01713406,0.01713406
experiments/output/ace_attribution_20260912/swaps/configs/mathd_numbertheory_33__luna-terra-book-medium__gpt-5.6-luna__seed0 repricing,0.00661256,0.00661256
experiments/output/ace_attribution_20260912/swaps/configs/mathd_algebra_282__luna-terra-book-medium__gpt-5.6-luna__seed0 repricing,0.03786028,0.03786028
experiments/output/ace_attribution_20260912/swaps/configs/mathd_numbertheory_303__luna-terra-book-medium__gpt-5.6-luna__seed0 repricing,0.040153999999999995,0.040153999999999995
experiments/output/ace_capacity_20260912/cross/configs/mathd_algebra_214__cross-level0__gpt-5.6-luna__seed0 repricing,0.0015284,0.0015284
experiments/output/ace_capacity_20260912/cross/configs/amc12_2001_p21__cross-level0__gpt-5.6-luna__seed0 repricing,0.00529698,0.00529698
experiments/output/ace_capacity_20260912/cross/configs/aime_1989_p8__cross-level0__gpt-5.6-luna__seed0 repricing,0.0007074799999999999,0.0007074799999999999
experiments/output/ace_capacity_20260912/cross/configs/mathd_numbertheory_284__cross-level0__gpt-5.6-luna__seed0 repricing,0.00056728,0.00056728
experiments/output/ace_capacity_20260912/cross/configs/aime_1991_p9__cross-level0__gpt-5.6-luna__seed0 repricing,0.035392759999999995,0.035392759999999995
experiments/output/ace_capacity_20260912/cross/configs/mathd_algebra_421__cross-level0__gpt-5.6-luna__seed0 repricing,0.00153966,0.00153966
experiments/output/ace_capacity_20260912/cross/configs/imo_1960_p2__cross-level0__gpt-5.6-luna__seed0 repricing,0.01879574,0.01879574
experiments/output/ace_capacity_20260912/cross/configs/mathd_numbertheory_64__cross-level0__gpt-5.6-luna__seed0 repricing,0.03406324,0.03406324000000001
experiments/output/ace_capacity_20260912/cross/configs/amc12a_2013_p8__cross-level0__gpt-5.6-luna__seed0 repricing,0.00471956,0.004719559999999999
experiments/output/ace_capacity_20260912/cross/configs/amc12a_2016_p3__cross-level0__gpt-5.6-luna__seed0 repricing,0.0104421,0.0104421
experiments/output/ace_capacity_20260912/cross/configs/amc12b_2020_p5__cross-level0__gpt-5.6-luna__seed0 repricing,0.00056628,0.00056628
experiments/output/ace_capacity_20260912/cross/configs/imo_1964_p2__cross-level0__gpt-5.6-luna__seed0 repricing,0.01663752,0.01663752
experiments/output/ace_capacity_20260912/cross/configs/mathd_algebra_234__cross-level0__gpt-5.6-luna__seed0 repricing,0.0006546799999999999,0.0006546799999999999
experiments/output/ace_capacity_20260912/cross/configs/amc12b_2003_p6__cross-level0__gpt-5.6-luna__seed0 repricing,0.036336879999999995,0.03633688
experiments/output/ace_capacity_20260912/cross/configs/imo_1969_p2__cross-level0__gpt-5.6-luna__seed0 repricing,0.0380244,0.0380244
experiments/output/ace_capacity_20260912/cross/configs/mathd_algebra_327__cross-level0__gpt-5.6-luna__seed0 repricing,0.0026994,0.0026994
experiments/output/ace_capacity_20260912/cross/configs/amc12_2000_p12__cross-level0__gpt-5.6-luna__seed0 repricing,0.00578592,0.00578592
experiments/output/ace_capacity_20260912/cross/configs/mathd_numbertheory_530__cross-level0__gpt-5.6-luna__seed0 repricing,0.03898638,0.03898638
experiments/output/ace_capacity_20260912/cross/configs/mathd_algebra_190__cross-level0__gpt-5.6-luna__seed0 repricing,0.00052808,0.00052808
experiments/output/ace_capacity_20260912/cross/configs/imo_1984_p6__cross-level0__gpt-5.6-luna__seed0 repricing,0.024657439999999996,0.02465744
experiments/output/ace_capacity_20260912/cross/configs/mathd_numbertheory_461__cross-level0__gpt-5.6-luna__seed0 repricing,0.0005118799999999999,0.0005118799999999999
experiments/output/ace_capacity_20260912/cross/configs/aime_1991_p6__cross-level0__gpt-5.6-luna__seed0 repricing,0.039774899999999995,0.0397749
experiments/output/ace_capacity_20260912/cross/configs/amc12a_2020_p21__cross-level0__gpt-5.6-luna__seed0 repricing,0.03964068,0.039640680000000005
experiments/output/ace_capacity_20260912/cross/configs/algebra_others_exirrpowirrrat__cross-level0__gpt-5.6-luna__seed0 repricing,0.038210999999999995,0.03821100000000001
experiments/output/ace_capacity_20260912/cross/configs/mathd_algebra_251__cross-level0__gpt-5.6-luna__seed0 repricing,0.0029243,0.0029243000000000003
experiments/output/ace_capacity_20260912/cross/configs/mathd_algebra_433__cross-level0__gpt-5.6-luna__seed0 repricing,0.00482144,0.00482144
experiments/output/ace_capacity_20260912/cross/configs/aime_1984_p7__cross-level0__gpt-5.6-luna__seed0 repricing,0.03804916,0.03804916
experiments/output/ace_capacity_20260912/cross/configs/mathd_numbertheory_37__cross-level0__gpt-5.6-luna__seed0 repricing,0.03399562,0.03399562
experiments/output/ace_capacity_20260912/cross/configs/amc12b_2002_p3__cross-level0__gpt-5.6-luna__seed0 repricing,0.013296839999999999,0.013296839999999999
experiments/output/ace_capacity_20260912/cross/configs/amc12a_2002_p6__cross-level0__gpt-5.6-luna__seed0 repricing,0.00057828,0.00057828
experiments/output/ace_capacity_20260912/cross/configs/mathd_numbertheory_405__cross-level0__gpt-5.6-luna__seed0 repricing,0.0387574,0.038757400000000004
experiments/output/ace_capacity_20260912/cross/configs/mathd_algebra_393__cross-level0__gpt-5.6-luna__seed0 repricing,0.011728780000000001,0.011728780000000001
gpt-5.6-terra/luna count,40,40
gpt-5.6-terra/luna cost,6.8522742,6.8522742
gpt-5.6-terra/luna solves,29,29
experiments/output/ace_attribution_20260912/swaps/configs/amc12a_2008_p4__terra-luna-book-medium__gpt-5.6-terra__seed0 repricing,0.3228352,0.3228352
experiments/output/ace_attribution_20260912/swaps/configs/induction_prod1p1onk3le3m1onn__terra-luna-book-medium__gpt-5.6-terra__seed0 repricing,0.3760686,0.3760686
experiments/output/ace_attribution_20260912/swaps/configs/imo_1981_p6__terra-luna-book-medium__gpt-5.6-terra__seed0 repricing,0.0514374,0.0514374
experiments/output/ace_attribution_20260912/swaps/configs/amc12a_2019_p21__terra-luna-book-medium__gpt-5.6-terra__seed0 repricing,0.2522764,0.2522764
experiments/output/ace_attribution_20260912/swaps/configs/mathd_numbertheory_43__terra-luna-book-medium__gpt-5.6-terra__seed0 repricing,0.21935280000000001,0.21935280000000001
experiments/output/ace_attribution_20260912/swaps/configs/mathd_numbertheory_33__terra-luna-book-medium__gpt-5.6-terra__seed0 repricing,0.0244536,0.0244536
experiments/output/ace_attribution_20260912/swaps/configs/mathd_algebra_282__terra-luna-book-medium__gpt-5.6-terra__seed0 repricing,0.3955104,0.3955104
experiments/output/ace_attribution_20260912/swaps/configs/mathd_numbertheory_303__terra-luna-book-medium__gpt-5.6-terra__seed0 repricing,0.39750379999999996,0.39750379999999996
experiments/output/ace_capacity_20260912/cross/configs/mathd_numbertheory_530__cross-level0__gpt-5.6-terra__seed0 repricing,0.3750678,0.37506779999999995
experiments/output/ace_capacity_20260912/cross/configs/mathd_numbertheory_284__cross-level0__gpt-5.6-terra__seed0 repricing,0.0047504,0.0047504
experiments/output/ace_capacity_20260912/cross/configs/amc12a_2013_p8__cross-level0__gpt-5.6-terra__seed0 repricing,0.0313798,0.0313798
experiments/output/ace_capacity_20260912/cross/configs/imo_1984_p6__cross-level0__gpt-5.6-terra__seed0 repricing,0.33570900000000004,0.3357090000000001
experiments/output/ace_capacity_20260912/cross/configs/imo_1964_p2__cross-level0__gpt-5.6-terra__seed0 repricing,0.0858318,0.08583179999999999
experiments/output/ace_capacity_20260912/cross/configs/mathd_algebra_214__cross-level0__gpt-5.6-terra__seed0 repricing,0.006218400000000001,0.006218400000000001
experiments/output/ace_capacity_20260912/cross/configs/imo_1969_p2__cross-level0__gpt-5.6-terra__seed0 repricing,0.345306,0.3453059999999999
experiments/output/ace_capacity_20260912/cross/configs/amc12a_2016_p3__cross-level0__gpt-5.6-terra__seed0 repricing,0.0891304,0.0891304
experiments/output/ace_capacity_20260912/cross/configs/mathd_algebra_433__cross-level0__gpt-5.6-terra__seed0 repricing,0.0208204,0.0208204
experiments/output/ace_capacity_20260912/cross/configs/mathd_algebra_234__cross-level0__gpt-5.6-terra__seed0 repricing,0.0049644,0.0049644
experiments/output/ace_capacity_20260912/cross/configs/amc12_2001_p21__cross-level0__gpt-5.6-terra__seed0 repricing,0.3972274,0.3972274
experiments/output/ace_capacity_20260912/cross/configs/mathd_algebra_327__cross-level0__gpt-5.6-terra__seed0 repricing,0.0479058,0.0479058
experiments/output/ace_capacity_20260912/cross/configs/mathd_algebra_251__cross-level0__gpt-5.6-terra__seed0 repricing,0.0067024,0.0067024
experiments/output/ace_capacity_20260912/cross/configs/mathd_numbertheory_64__cross-level0__gpt-5.6-terra__seed0 repricing,0.2182638,0.2182638
experiments/output/ace_capacity_20260912/cross/configs/mathd_algebra_393__cross-level0__gpt-5.6-terra__seed0 repricing,0.0579346,0.0579346
experiments/output/ace_capacity_20260912/cross/configs/mathd_numbertheory_461__cross-level0__gpt-5.6-terra__seed0 repricing,0.0060804,0.0060804
experiments/output/ace_capacity_20260912/cross/configs/aime_1989_p8__cross-level0__gpt-5.6-terra__seed0 repricing,0.005972399999999999,0.005972399999999999
experiments/output/ace_capacity_20260912/cross/configs/mathd_numbertheory_405__cross-level0__gpt-5.6-terra__seed0 repricing,0.3583942,0.35839419999999994
experiments/output/ace_capacity_20260912/cross/configs/aime_1991_p6__cross-level0__gpt-5.6-terra__seed0 repricing,0.3436954,0.34369540000000004
experiments/output/ace_capacity_20260912/cross/configs/amc12_2000_p12__cross-level0__gpt-5.6-terra__seed0 repricing,0.0709144,0.07091439999999999
experiments/output/ace_capacity_20260912/cross/configs/amc12b_2020_p5__cross-level0__gpt-5.6-terra__seed0 repricing,0.0052204,0.0052204
experiments/output/ace_capacity_20260912/cross/configs/amc12a_2020_p21__cross-level0__gpt-5.6-terra__seed0 repricing,0.3640872,0.36408719999999994
experiments/output/ace_capacity_20260912/cross/configs/mathd_numbertheory_37__cross-level0__gpt-5.6-terra__seed0 repricing,0.3240502,0.32405019999999995
experiments/output/ace_capacity_20260912/cross/configs/mathd_algebra_421__cross-level0__gpt-5.6-terra__seed0 repricing,0.0193696,0.0193696
experiments/output/ace_capacity_20260912/cross/configs/algebra_others_exirrpowirrrat__cross-level0__gpt-5.6-terra__seed0 repricing,0.36389099999999996,0.363891
experiments/output/ace_capacity_20260912/cross/configs/amc12b_2002_p3__cross-level0__gpt-5.6-terra__seed0 repricing,0.09997619999999999,0.09997620000000002
experiments/output/ace_capacity_20260912/cross/configs/imo_1960_p2__cross-level0__gpt-5.6-terra__seed0 repricing,0.1074238,0.10742379999999999
experiments/output/ace_capacity_20260912/cross/configs/amc12a_2002_p6__cross-level0__gpt-5.6-terra__seed0 repricing,0.0058204,0.0058204
experiments/output/ace_capacity_20260912/cross/configs/aime_1984_p7__cross-level0__gpt-5.6-terra__seed0 repricing,0.37697820000000004,0.37697820000000004
experiments/output/ace_capacity_20260912/cross/configs/aime_1991_p9__cross-level0__gpt-5.6-terra__seed0 repricing,0.1594914,0.1594914
experiments/output/ace_capacity_20260912/cross/configs/amc12b_2003_p6__cross-level0__gpt-5.6-terra__seed0 repricing,0.169204,0.16920400000000002
experiments/output/ace_capacity_20260912/cross/configs/mathd_algebra_190__cross-level0__gpt-5.6-terra__seed0 repricing,0.0050544,0.0050544
gpt-5.6-terra/none count,40,40
gpt-5.6-terra/none cost,6.6106256,6.6106256
gpt-5.6-terra/none solves,29,29
experiments/output/ace_attribution_20260912/validation/terra/configs/imo_1960_p2__terra-none-medium__gpt-5.6-terra__seed0 repricing,0.2414062,0.2414062
experiments/output/ace_attribution_20260912/validation/terra/configs/aime_1991_p6__terra-none-medium__gpt-5.6-terra__seed0 repricing,0.4262602,0.4262602
experiments/output/ace_attribution_20260912/validation/terra/configs/amc12a_2008_p4__terra-none-medium__gpt-5.6-terra__seed0 repricing,0.08079839999999999,0.08079839999999999
experiments/output/ace_attribution_20260912/validation/terra/configs/induction_prod1p1onk3le3m1onn__terra-none-medium__gpt-5.6-terra__seed0 repricing,0.2561448,0.2561448
experiments/output/ace_attribution_20260912/validation/terra/configs/algebra_others_exirrpowirrrat__terra-none-medium__gpt-5.6-terra__seed0 repricing,0.40246499999999996,0.40246499999999996
experiments/output/ace_attribution_20260912/validation/terra/configs/mathd_algebra_190__terra-none-medium__gpt-5.6-terra__seed0 repricing,0.0040454,0.0040454
experiments/output/ace_attribution_20260912/validation/terra/configs/mathd_numbertheory_284__terra-none-medium__gpt-5.6-terra__seed0 repricing,0.0038494000000000002,0.0038494000000000002
experiments/output/ace_attribution_20260912/validation/terra/configs/imo_1964_p2__terra-none-medium__gpt-5.6-terra__seed0 repricing,0.0998766,0.0998766
experiments/output/ace_attribution_20260912/validation/terra/configs/aime_1984_p7__terra-none-medium__gpt-5.6-terra__seed0 repricing,0.252738,0.252738
experiments/output/ace_attribution_20260912/validation/terra/configs/amc12a_2013_p8__terra-none-medium__gpt-5.6-terra__seed0 repricing,0.07524739999999999,0.07524739999999999
experiments/output/ace_attribution_20260912/validation/terra/configs/mathd_algebra_214__terra-none-medium__gpt-5.6-terra__seed0 repricing,0.0044414,0.0044414
experiments/output/ace_attribution_20260912/validation/terra/configs/mathd_numbertheory_303__terra-none-medium__gpt-5.6-terra__seed0 repricing,0.2366016,0.2366016
experiments/output/ace_attribution_20260912/validation/terra/configs/imo_1969_p2__terra-none-medium__gpt-5.6-terra__seed0 repricing,0.42109219999999997,0.42109219999999997
experiments/output/ace_attribution_20260912/validation/terra/configs/aime_1989_p8__terra-none-medium__gpt-5.6-terra__seed0 repricing,0.0046034,0.0046034
experiments/output/ace_attribution_20260912/validation/terra/configs/amc12a_2016_p3__terra-none-medium__gpt-5.6-terra__seed0 repricing,0.09181919999999999,0.09181919999999999
experiments/output/ace_attribution_20260912/validation/terra/configs/mathd_algebra_234__terra-none-medium__gpt-5.6-terra__seed0 repricing,0.0036674,0.0036674
experiments/output/ace_attribution_20260912/validation/terra/configs/mathd_numbertheory_33__terra-none-medium__gpt-5.6-terra__seed0 repricing,0.11575959999999999,0.11575959999999999
experiments/output/ace_attribution_20260912/validation/terra/configs/imo_1981_p6__terra-none-medium__gpt-5.6-terra__seed0 repricing,0.0871132,0.0871132
experiments/output/ace_attribution_20260912/validation/terra/configs/aime_1991_p9__terra-none-medium__gpt-5.6-terra__seed0 repricing,0.19395240000000002,0.19395240000000002
experiments/output/ace_attribution_20260912/validation/terra/configs/amc12a_2019_p21__terra-none-medium__gpt-5.6-terra__seed0 repricing,0.266847,0.266847
experiments/output/ace_attribution_20260912/validation/terra/configs/mathd_algebra_251__terra-none-medium__gpt-5.6-terra__seed0 repricing,0.0216796,0.0216796
experiments/output/ace_attribution_20260912/validation/terra/configs/mathd_numbertheory_37__terra-none-medium__gpt-5.6-terra__seed0 repricing,0.3038204,0.3038204
experiments/output/ace_attribution_20260912/validation/terra/configs/imo_1984_p6__terra-none-medium__gpt-5.6-terra__seed0 repricing,0.2397728,0.2397728
