path,theorem,partition,strategy,status,category,checks,cost,cost_source,unknown_charge,administrative_censoring,evidence
experiments/output/ace_economy_refinement_20260916/final09/configs/validation__agentic__amc12a_2020_p21__seed1,amc12a_2020_p21,validation,prove_theorem_grounded,done,unproved_prerequisite,9,0.0387382,dated billing receipts,False,False,audit/cells/0128ca8a05bcdafe02f813359d21b967f118ef312769d99535c5ad5760729c71.json
experiments/output/ace_economy_20260916/validation/configs/validation__budget__algebra_others_exirrpowirrrat__seed1,algebra_others_exirrpowirrrat,validation,prove_theorem_grounded,done,other_or_unobserved,17,0.12432098,dated billing receipts,False,False,audit/cells/014003294441c4c16fcd2fcb5c605a6272eecd231f9c05732567c6492ccbdaad.json
experiments/output/ace_economy_refinement_20260916/final17/configs/validation__agentic_compact__imo_1964_p2__seed1,imo_1964_p2,validation,prove_theorem_grounded,done,arithmetic_or_search,16,0.04193376,dated billing receipts,False,False,audit/cells/01589f84025a4b9e6fef50fc375df2aae191d35ec066e9b183b158cbf050cb4f.json
experiments/output/ace_economy_refinement_20260916/final04/configs/validation__ace__mathd_numbertheory_37__seed0,mathd_numbertheory_37,validation,prove_theorem_grounded,done,other_or_unobserved,14,0.02637908,dated billing receipts,False,False,audit/cells/015f0bcd6c663ab6a09a2c821313120293a394699ef03adfe96718b3e33a2bd5.json
experiments/output/ace_economy_20260916/validation/configs/validation__ace__mathd_algebra_282__seed0,mathd_algebra_282,validation,prove_theorem_grounded,done,incomplete_proof,20,0.027444200000000002,dated billing receipts,False,False,audit/cells/017b7d45e0f9c4466375b20c1dbb88c9fd5ff87dfb56e28de5e4eb6d6668fc2f.json
experiments/output/ace_adaptation_x3-offline-e3/configs/step81_generator_mathd_algebra_185,mathd_algebra_185,train,prove_theorem_ace,done,other_or_unobserved,21,0.046416439999999996,"cache tokens, current tariff; unrecorded retries unknown",False,False,audit/cells/0188db82f9d47bf6947944911541f0cf704ab6bdf36009c615ea1cd6af994321.json
experiments/output/ace_adaptation_x3-mono/configs/step07_curator_amc12a_2017_p7,amc12a_2017_p7,train,rewrite_playbook,done,no_verifier_evidence,0,0.009323159999999999,"cache tokens, current tariff; unrecorded retries unknown",False,False,audit/cells/0196e99c07a6b80961d9cd1dd8175a0705ee1b6c58c893b7265b141c763669ca.json
experiments/output/x_validation_agentic/configs/algebra_others_exirrpowirrrat__core-medium__gpt-5.6-luna__seed1,algebra_others_exirrpowirrrat,validation,prove_theorem_agentic,done,arithmetic_or_search,11,0.03514782,"cache tokens, current tariff; unrecorded retries unknown",False,False,audit/cells/019f559f8f96ca9922553757557a9190ed0656fd6ab9f37df74a2b288e3017f3.json
experiments/output/ace_attribution_20260912/effort/configs/amc12b_2004_p3__terra-none-low__gpt-5.6-terra__seed0,amc12b_2004_p3,train,prove_theorem_grounded,done,verifier_resource,9,0.2033486,dated billing receipts,False,False,audit/cells/01ac026cacdfd3b41e7abe5e800ffd30d8063d357caeda0a8e68eabc423d2bc4.json
experiments/output/ace_learning_20260914/validation/configs/validation__B__proof__mathd_numbertheory_405__seed0,mathd_numbertheory_405,validation,prove_theorem_grounded,done,other_or_unobserved,9,0.03663122,dated billing receipts,False,False,audit/cells/01c35eb4a79bce8e8ef54a419d7e1e66b30257ce67453ba5ba893c8f46f8e973.json
experiments/output/ace_revision_20260913/training/configs/training__control__proof__imo_1967_p3__seed0,imo_1967_p3,train,prove_theorem_grounded,done,arithmetic_or_search,8,0.0408687,dated billing receipts,False,False,audit/cells/01d91693df7827d618239001d4d6a01d50c5188ca1a2efda474acf870e69fdfe.json
experiments/output/ace_capacity_20260912/mechanisms/configs/algebra_amgm_sum1toneqn_prod1tonleq1__E-level0__gpt-5.6-luna__seed0,algebra_amgm_sum1toneqn_prod1tonleq1,train,prove_theorem_grounded,done,unproved_prerequisite,7,0.0359761,"cache tokens, current tariff; unrecorded retries unknown",False,False,audit/cells/01ec9d9563fc534b12ae362ced431817da7de9e0e724f7eb319e5f3bbdb11d78.json
experiments/output/ace_adaptation_x-offline/configs/step14_generator_algebra_amgm_sum1toneqn_prod1tonleq1,algebra_amgm_sum1toneqn_prod1tonleq1,train,prove_theorem_ace,done,incomplete_proof,18,0.024141260000000005,"cache tokens, current tariff; unrecorded retries unknown",False,False,audit/cells/01f401076b57e58f3f768847794aa113fcb5aa2640aa87a2ab68914536bcb7f2.json
experiments/output/ace_models_20260910/proof/configs/mathd_algebra_224__selection-xhigh-68338b80d7121921__gpt-5.6-luna__seed0,mathd_algebra_224,train,prove_theorem_grounded,done,other_or_unobserved,2,0.03049576,dated billing receipts,False,False,audit/cells/021d3172d626b94f795128035ebb4d01a1804f4c87df213f835625e5b93d4895.json
experiments/output/ace_adaptation_review-repair-s1/configs/step19_generator_aime_1984_p1,aime_1984_p1,train,prove_theorem_ace,done,other_or_unobserved,22,0.05238148000000001,"cache tokens, current tariff; unrecorded retries unknown",False,False,audit/cells/023cc07886b61e4b02aa1f9dc5d4f0818fd8d515e25bec84b0cb405f83caa7bf.json
experiments/output/ace_economy_budget_20260916/validation/configs/validation__agentic__aime_1991_p6__seed1,aime_1991_p6,validation,prove_theorem_grounded,done,unproved_prerequisite,13,0.11292405999999999,dated billing receipts,False,False,audit/cells/0240259025b37ba27074b6c2ade36460b405b2e6b3840112e113b2304180cb7c.json
experiments/output/ace_economy_20260916/validation/configs/validation__session__aime_1991_p6__seed0,aime_1991_p6,validation,prove_theorem_grounded,done,incomplete_proof,4,0.0314391,dated billing receipts,False,False,audit/cells/024c93963e10e2d99e0c398d2b4085f7d51136c124580c909c3f9790a6c2db32.json
experiments/output/ace_economy_refinement_20260916/final08/configs/validation__ace__amc12a_2008_p4__seed1,amc12a_2008_p4,validation,prove_theorem_grounded,done,other_or_unobserved,23,0.03914784,dated billing receipts,False,False,audit/cells/0255cac52705b4698f7ba1f9fc5cf2a7630abe20b0495c781da2ec36861d691c.json
experiments/output/ace_economy_refinement_20260916/final14/configs/validation__ace__amc12_2001_p21__seed0,amc12_2001_p21,validation,prove_theorem_grounded,done,incomplete_proof,6,0.0235264,dated billing receipts,False,False,audit/cells/0294908b3fba9440b62ac203778741d1eb5dc2ae6713c2267e0229fb0d6ac3b3.json
experiments/output/ace_economy_20260916/validation/configs/validation__views__mathd_numbertheory_303__seed1,mathd_numbertheory_303,validation,prove_theorem_grounded,done,arithmetic_or_search,4,0.03778268,dated billing receipts,False,False,audit/cells/02954e1d175043f433f57a041e2c0a32415a6a43bf4bbc6b6845d5846fc1b019.json
experiments/output/ace_x_validation_agentic/configs/aime_1991_p6__ace-1ac8a092-k10-core-medium__gpt-5.6-luna__seed1,aime_1991_p6,validation,prove_theorem_ace,done,unproved_prerequisite,17,0.06719299999999997,"cache tokens, current tariff; unrecorded retries unknown",False,False,audit/cells/029c09d4278e28b08746c9beedde470155b45882fc9c4e3eae8abc5120a0ffce.json
experiments/output/ace_x_validation_agentic/configs/induction_prod1p1onk3le3m1onn__ace-1ac8a092-k10-core-medium__gpt-5.6-luna__seed0,induction_prod1p1onk3le3m1onn,validation,prove_theorem_ace,done,other_or_unobserved,21,0.07225988,"cache tokens, current tariff; unrecorded retries unknown",False,False,audit/cells/02a26b699c30739edd20917e1f7964a070916935edc3376c2626ccaeecd383bf.json
experiments/output/ace_polish_validation/configs/amc12a_2019_p21__candidate-r64__gpt-5.6-luna__seed1,amc12a_2019_p21,validation,prove_theorem_grounded,done,other_or_unobserved,10,0.03865504,"cache tokens, current tariff; unrecorded retries unknown",False,False,audit/cells/02a9d9d0e855760df1a37551ca4c892f24db22b8c502ca29b03f50eac23bb64f.json
experiments/output/ace_capacity_20260912/mechanisms/configs/algebra_amgm_sum1toneqn_prod1tonleq1__B-level0__gpt-5.6-terra__seed0,algebra_amgm_sum1toneqn_prod1tonleq1,train,prove_theorem_grounded,done,unknown_reference,8,0.4111046,"cache tokens, current tariff; unrecorded retries unknown",False,False,audit/cells/02aa338721ba94ec0f7a357624cb0f7506bda04c8e07aa0621a8554981079930.json
experiments/output/ace_economy_refinement_20260916/final10/configs/validation__agentic_compact__mathd_numbertheory_405__seed0,mathd_numbertheory_405,validation,prove_theorem_grounded,done,other_or_unobserved,9,0.04165094,dated billing receipts,False,False,audit/cells/02ad158f64d030e51eef8efd6313409254df76010d0135785192128b7f27289a.json
experiments/output/ace_x_validation_ace_x3_offline_rv2_agentic/configs/amc12a_2020_p21__ace-1e4aec7d-core-medium__gpt-5.6-luna__seed0,amc12a_2020_p21,validation,prove_theorem_ace,done,other_or_unobserved,23,0.053699880000000005,"cache tokens, current tariff; unrecorded retries unknown",False,False,audit/cells/02ae9b9f66231218871a8d351d66c8e2f95e0abc5dd4247a985fa6e26c4f4153.json
experiments/output/ace_mechanisms_20260910/training/configs/aime_1990_p4__training-S__gpt-5.6-luna__seed0,aime_1990_p4,train,prove_theorem_grounded,done,other_or_unobserved,9,0.01719286,dated billing receipts,False,False,audit/cells/02c9527e5561b69bc0bd7035f83db0070a7e478fe873346047a1c995f58e51d1.json
experiments/output/ace_x_validation_ace_x3_offline_rv3_agentic/configs/mathd_numbertheory_530__ace-1e4aec7d-core-medium__gpt-5.6-luna__seed1,mathd_numbertheory_530,validation,prove_theorem_ace,done,other_or_unobserved,10,0.03631558,"cache tokens, current tariff; unrecorded retries unknown",False,False,audit/cells/02d73ebfc257a9aad91e65ec46133a9526421ca8304459c7d2e58ac42cd388af.json
experiments/output/ace_economy_refinement_20260916/pilot/configs/train__ace_reset__imo_1967_p3__seed0,imo_1967_p3,train,prove_theorem_grounded,done,other_or_unobserved,11,0.04687202,dated billing receipts,False,False,audit/cells/030f1dda2a6f4a29e794b16020452afd7fd17da09c6a05b0add921c77c50719d.json
experiments/output/ace_economy_20260916/validation/configs/validation__session__mathd_numbertheory_37__seed1,mathd_numbertheory_37,validation,prove_theorem_grounded,done,incomplete_proof,14,0.02177648,dated billing receipts,False,False,audit/cells/0341647631c441b47ca8bb9893388f2f8cd346889419638b42e3c1fa848009e7.json
experiments/output/ace_adaptation_x-offline-e3/configs/step107_curator_induction_pord1p1on2powklt5on2,induction_pord1p1on2powklt5on2,train,,failed,platform_failure,0,0.0,"cache tokens, current tariff; unrecorded retries unknown",False,False,audit/cells/034f9f85900e39498e4f5ae409bb6b4762d556abdf0da09695aa675a65036cdf.json
experiments/output/ace_x_validation_ace_x3_noreflect_agentic/configs/amc12_2001_p21__ace-1ac8a092-core-medium__gpt-5.6-luna__seed0,amc12_2001_p21,validation,,failed,platform_failure,9,0.025165840000000002,"cache tokens, current tariff; unrecorded retries unknown",False,False,audit/cells/035fe81b170b1babbb2c729a225405619e47c47ece72ad8c4d02a542caa09e6f.json
experiments/output/ace_economy_refinement_20260916/final14/configs/validation__agentic_reset_compact__amc12_2001_p21__seed1,amc12_2001_p21,validation,prove_theorem_grounded,done,other_or_unobserved,10,0.01806104,dated billing receipts,False,False,audit/cells/037827ce413fa04b4b271a114b8e1fd78eca4aca3563fdab90a591b388c7ba59.json
experiments/output/ace_mechanisms_20260910/training/configs/amc12b_2004_p3__training-S__gpt-5.6-luna__seed0,amc12b_2004_p3,train,prove_theorem_grounded,done,other_or_unobserved,11,0.03213298,dated billing receipts,False,False,audit/cells/03826ae9a63151b2756ab59792317d42a893894a131be04371923b74b32b9f9e.json
experiments/output/x_validation_stall_seenstate4_agentic/configs/induction_prod1p1onk3le3m1onn__core-medium-stall-seenstate4__gpt-5.6-luna__seed0,induction_prod1p1onk3le3m1onn,validation,prove_theorem_agentic_stall,done,unknown_reference,18,0.053595559999999993,"cache tokens, current tariff; unrecorded retries unknown",False,False,audit/cells/0396ff1e7242ffbab5b467232760a9555ff6a40ef294a46285226d62b0e68e1a.json
experiments/output/ace_economy_20260916/validation/configs/validation__agentic__mathd_numbertheory_405__seed1,mathd_numbertheory_405,validation,prove_theorem_grounded,done,other_or_unobserved,8,0.03531186,dated billing receipts,False,False,audit/cells/03c43c7edcfb42844cb996c05449cef1a2d668552a2cd1579d85a7a0031bb19f.json
experiments/output/ace_economy_20260916/validation/configs/validation__agentic__mathd_numbertheory_405__seed0,mathd_numbertheory_405,validation,prove_theorem_grounded,done,other_or_unobserved,7,0.041923,dated billing receipts,False,False,audit/cells/03e685ea2edd1c8c633b14732bb6f52943e0169be2b574c4a0759fae98af4367.json
experiments/output/ace_online_x-online-warm-s0_agentic/configs/mathd_numbertheory_530__ace-a773234c-core-medium__gpt-5.6-luna__seed0,mathd_numbertheory_530,validation,prove_theorem_ace,done,unproved_prerequisite,10,0.04176022,"cache tokens, current tariff; unrecorded retries unknown",False,False,audit/cells/03e6c0bc354318f751abe69fc73e962c955c59b57b67c47624566402edb24701.json
experiments/output/ace_online_x-online-warm-s1_agentic/configs/imo_1969_p2__ace-da20d8e6-core-medium__gpt-5.6-luna__seed1,imo_1969_p2,validation,prove_theorem_ace,done,incomplete_proof,23,0.027911259999999997,"cache tokens, current tariff; unrecorded retries unknown",False,False,audit/cells/042bbb93a42f0b8fda23120293f0427f325ab7060717a450367bf941affc5773.json
experiments/output/ace_economy_refinement_20260916/final06/configs/validation__ace_compact__imo_1969_p2__seed0,imo_1969_p2,validation,prove_theorem_grounded,done,arithmetic_or_search,8,0.03930976,dated billing receipts,False,False,audit/cells/048a432f74d27a2f9535f4cb0c828076b7bf9534a70c167d60992d64f34e64e7.json
experiments/output/coverage_cycle_20260911/training/H/configs/amc12b_2004_p3__training-H__gpt-5.6-luna__seed0,amc12b_2004_p3,train,prove_theorem_grounded,done,syntax,16,0.04488092,dated billing receipts,False,False,audit/cells/04a7bdd71bd2bce2f032a298f413c0485770300c9a08c566618717b1874e63b1.json
experiments/output/ace_sanitized_20260917/validation/configs/validation__ace_selected__proof__imo_1964_p2__seed1,imo_1964_p2,validation,prove_theorem_grounded,done,other_or_unobserved,13,0.03940464,dated billing receipts,False,False,audit/cells/04b7bdfadce6e18e18a53a07d12ba75e6a0caeecb6dff50dc3c54378a9cab4fe.json
experiments/output/ace_revision_20260913/validation/configs/validation__candidate__proof__imo_1969_p2__seed1,imo_1969_p2,validation,prove_theorem_grounded,done,incomplete_proof,25,0.0328807,dated billing receipts,False,False,audit/cells/04c23ae3b03dbcde29ccb30937c4c94e02da0303c45d392c0e1c0c2091f9b4e6.json
experiments/output/ace_economy_budget_20260916/validation/configs/validation__agentic__amc12_2001_p21__seed1,amc12_2001_p21,validation,prove_theorem_grounded,done,other_or_unobserved,8,0.01247418,dated billing receipts,False,False,audit/cells/04eb76e9c4c0733b71004b99736dfa908f240755a6d751c186853e51b1e7bd15.json
experiments/output/ace_x_validation_ace_x3_offline_rv2_agentic/configs/algebra_others_exirrpowirrrat__ace-1e4aec7d-core-medium__gpt-5.6-luna__seed0,algebra_others_exirrpowirrrat,validation,prove_theorem_ace,done,incomplete_proof,19,0.038705399999999994,"cache tokens, current tariff; unrecorded retries unknown",False,False,audit/cells/04edd2635599dfd784aadc7709613c25fc3e53f7368369f7bd7e0b1c53ed2462.json
experiments/output/ace_capacity_20260912/mechanisms/configs/algebra_amgm_sum1toneqn_prod1tonleq1__B-level0__gpt-5.6-luna__seed0,algebra_amgm_sum1toneqn_prod1tonleq1,train,prove_theorem_grounded,done,other_or_unobserved,5,0.033473699999999995,"cache tokens, current tariff; unrecorded retries unknown",False,False,audit/cells/04f4085979bfbd8a4ca0ca47a42c8769dd1eb76aaa13571929c4d786db3db528.json
experiments/output/ace_polish_validation/configs/mathd_algebra_282__candidate-r64__gpt-5.6-luna__seed0,mathd_algebra_282,validation,prove_theorem_grounded,done,incomplete_proof,19,0.030941499999999997,"cache tokens, current tariff; unrecorded retries unknown",False,False,audit/cells/04fa6a5b21aadca089b1c382c08094a28e094bf69edaf3d96b37f469d5c4aca7.json
experiments/output/ace_contenders_20260910/configs/aime_1991_p9__validation-reflector-xhigh__gpt-5.6-luna__seed0,aime_1991_p9,validation,prove_theorem_grounded,done,no_verifier_evidence,0,0.02650316,dated billing receipts,False,False,audit/cells/0523730ad8f7dfff6bc397772fa42c74460455699fb4b2dd3611a39366294404.json
experiments/output/ace_bounded_validation/configs/mathd_numbertheory_37__integrated-r64__gpt-5.6-luna__seed0,mathd_numbertheory_37,validation,prove_theorem_grounded,done,other_or_unobserved,12,0.021166559999999997,"cache tokens, current tariff; unrecorded retries unknown",False,False,audit/cells/052c3a79a0266c3be611facd73490615f38f4bf1d432051c5ea2bdc4297c5bbd.json
experiments/output/ace_sanitized_20260917/validation/configs/validation__agentic_coverage__proof__imo_1969_p2__seed1,imo_1969_p2,validation,prove_theorem_grounded,done,incomplete_proof,27,0.055929719999999995,dated billing receipts,False,False,audit/cells/0536981accc596dc9a6677c476834bdd0cb8391befd5a19e077f9f4c1629218e.json
experiments/output/ace_sanitized_20260917/validation/configs/validation__ace_coverage__proof__amc12a_2020_p21__seed1,amc12a_2020_p21,validation,prove_theorem_grounded,done,other_or_unobserved,10,0.04168932,dated billing receipts,False,False,audit/cells/055cc643c9ba7e34d11de09958abebae437462c705e4a70d0ffe831b8bf3c020.json
experiments/output/ace_sanitized_20260917/validation/configs/validation__ace_selected__proof__aime_1984_p7__seed1,aime_1984_p7,validation,prove_theorem_grounded,done,other_or_unobserved,10,0.041301159999999996,dated billing receipts,False,False,audit/cells/0570f84fce36b8deefa595c0c11e3fa3f47d2d29eca982c6ae2df84aa40f5f3f.json
experiments/output/ace_models_20260910/proof/configs/imo_1977_p6__prover-xhigh-10cc02b07a1c6c29__gpt-5.6-luna__seed0,imo_1977_p6,train,prove_theorem_grounded,done,no_verifier_evidence,0,0.0267033,dated billing receipts,False,False,audit/cells/05d82eccdb047ca5ebb8d7952c24f1ea1127cfb1b75b4f0ec4e6c18d4ffbec58.json
experiments/output/ace_capacity_20260912/headroom2/configs/imo_1967_p3__E-level2__gpt-5.6-terra__seed0,imo_1967_p3,train,prove_theorem_grounded,done,other_or_unobserved,24,1.2341089999999997,"cache tokens, current tariff; unrecorded retries unknown",False,False,audit/cells/05e49f86d392d3989fd2a53f3b217bacbd50b83ad984005ab14c7fbfcbd2bbae.json
experiments/output/ace_attribution_20260912/validation/luna-none/configs/mathd_numbertheory_405__luna-none-medium__gpt-5.6-luna__seed0,mathd_numbertheory_405,validation,prove_theorem_grounded,done,other_or_unobserved,8,0.03685584,dated billing receipts,False,False,audit/cells/05e9448571660f0487fcf1228ebc2581dd89dceb1c0103dfc708e833a3bcb179.json
experiments/output/ace_control_cycle_validation/configs/mathd_numbertheory_530__validation-r64__gpt-5.6-luna__seed0,mathd_numbertheory_530,validation,prove_theorem_grounded,done,other_or_unobserved,12,0.07012354,"cache tokens, current tariff; unrecorded retries unknown",False,False,audit/cells/05ecd8b3d0cd210e08c24871a6b495806eea0be829daf1c5e80b16454948f8d6.json
experiments/output/ace_control_cycle_training/configs/amc12b_2002_p11__trained-r64__gpt-5.6-luna__seed0,amc12b_2002_p11,train,prove_theorem_grounded,done,unknown_reference,8,0.06465464,"cache tokens, current tariff; unrecorded retries unknown",False,False,audit/cells/05fa2c209bdd98d58553d712218051758dc6b09d1220dc5695cc881d6397a7df.json
experiments/output/ace_polish_pilots/configs/mathd_algebra_185__output_recovery-on-r64__gpt-5.6-luna__seed0,mathd_algebra_185,train,prove_theorem_grounded,done,arithmetic_or_search,10,0.04300938,"cache tokens, current tariff; unrecorded retries unknown",False,False,audit/cells/05fc57663b4cecf87b2b6dd205e1ae491fd83ac551cb1bf399361814b30866ac.json
experiments/output/ace_adaptation_x-offline-e3/configs/step111_curator_mathd_numbertheory_221,mathd_numbertheory_221,train,,failed,platform_failure,0,0.0,"cache tokens, current tariff; unrecorded retries unknown",False,False,audit/cells/061585d58431e125015e7f92f5873b191436bfd733e34a39804b97605c4eb08d.json
experiments/output/ace_economy_refinement_20260916/final06/configs/validation__agentic_compact__imo_1969_p2__seed1,imo_1969_p2,validation,prove_theorem_grounded,done,other_or_unobserved,9,0.04361102,dated billing receipts,False,False,audit/cells/061db17425456d42df7917ab978e2ee800464194b230688b4039ccd53aad5f26.json
experiments/output/ace_learning_20260914/validation/configs/validation__B__proof__mathd_numbertheory_43__seed1,mathd_numbertheory_43,validation,prove_theorem_grounded,done,other_or_unobserved,15,0.02644408,dated billing receipts,False,False,audit/cells/06259734d5175b6f1069db0a8ded9c516b37193f29d56324a2570a2cf1cea529.json
experiments/output/acet_x_validation_ace_x6_repairs_k3_r2_agentic/configs/mathd_numbertheory_303__acet-1d2bc630-30d3e288-k3-r2-core-medium__gpt-5.6-luna__seed0,mathd_numbertheory_303,validation,prove_theorem_ace_triggered,done,arithmetic_or_search,19,0.062023760000000004,"cache tokens, current tariff; unrecorded retries unknown",False,False,audit/cells/06705aa818dfff40b7728eca606538cac1ec0a8f0977d4c27297cf89b807b849.json
experiments/output/acet_x_validation_ace_x6_repairs_k3_r2_agentic/configs/amc12a_2020_p21__acet-1d2bc630-30d3e288-k3-r2-core-medium__gpt-5.6-luna__seed1,amc12a_2020_p21,validation,prove_theorem_ace_triggered,done,incomplete_proof,20,0.04425724,"cache tokens, current tariff; unrecorded retries unknown",False,False,audit/cells/067e18322b57e6c6d7d9f4666bd6f1d9d424f4f66a49813035b5c2a70b77f5b2.json
experiments/output/ace_adaptation_x-mono/configs/step20_curator_imo_1977_p6,imo_1977_p6,train,rewrite_playbook,done,no_verifier_evidence,0,0.01297692,"cache tokens, current tariff; unrecorded retries unknown",False,False,audit/cells/067faef1d0293917c35b751990672d860bc8f8820dd2135dfbcb62c64f4ec425.json
experiments/output/ace_x_validation_ace_x3_offline_agentic/configs/mathd_numbertheory_405__ace-1ac8a092-core-medium__gpt-5.6-luna__seed0,mathd_numbertheory_405,validation,prove_theorem_ace,done,incomplete_proof,28,0.08421168000000001,"cache tokens, current tariff; unrecorded retries unknown",False,False,audit/cells/06b4fde2d3fbc9c6e184b40cbcd78e8d5809df82290be720e855355b175ce532.json
experiments/output/ace_economy_refinement_20260916/final00/configs/validation__agentic_reset_compact__mathd_algebra_282__seed1,mathd_algebra_282,validation,prove_theorem_grounded,done,incomplete_proof,35,0.03832812,dated billing receipts,False,False,audit/cells/06d3a50646a13e6556e3ac591c0cac7546f8e8100eafd2b02622315ebf529d0b.json
