phase,arm,theorem,seed,solved,cost,failed,qualified
training,reflector-xhigh,mathd_algebra_37,0,True,0.0004202,False,True
training,reflector-xhigh,mathd_algebra_410,0,True,0.004336359999999999,False,True
training,reflector-xhigh,mathd_algebra_43,0,True,0.00085724,False,True
training,reflector-xhigh,mathd_numbertheory_221,0,True,0.00087312,False,True
training,reflector-xhigh,mathd_numbertheory_301,0,True,0.0014519799999999999,False,True
training,reflector-xhigh,mathd_numbertheory_326,0,True,0.00060592,False,True
training,reflector-xhigh,mathd_numbertheory_35,0,True,0.0005351199999999999,False,True
training,reflector-xhigh,mathd_numbertheory_403,0,True,0.0010329199999999999,False,True
training,reflector-xhigh,mathd_numbertheory_42,0,True,0.0019281199999999997,False,True
training,reflector-xhigh,mathd_numbertheory_458,0,True,0.00228202,False,True
training,reflector-xhigh,mathd_numbertheory_48,0,True,0.021673400000000002,False,True
training,reflector-xhigh,mathd_numbertheory_629,0,False,0.026452859999999998,False,False
validation,reflector-medium,aime_1984_p7,0,False,0.036793599999999996,False,False
validation,reflector-medium,aime_1989_p8,0,True,0.00084676,False,True
validation,reflector-medium,aime_1991_p6,0,False,0.030526159999999997,False,False
validation,reflector-medium,aime_1991_p9,0,False,0.028465619999999997,False,False
validation,reflector-medium,algebra_others_exirrpowirrrat,0,False,0.025355080000000006,False,False
validation,reflector-medium,amc12_2000_p12,0,False,0.024942520000000003,False,False
validation,reflector-medium,amc12_2001_p21,0,False,0.03818238,False,False
validation,reflector-medium,amc12a_2002_p6,0,True,0.0008519599999999999,False,True
validation,reflector-medium,amc12a_2008_p4,0,True,0.020434340000000002,False,True
validation,reflector-medium,amc12a_2013_p8,0,True,0.01377918,False,True
validation,reflector-medium,amc12a_2016_p3,0,False,0.0329715,False,False
validation,reflector-medium,amc12a_2019_p21,0,False,0.025982500000000002,False,False
validation,reflector-medium,amc12a_2020_p21,0,False,0.02423154,False,False
validation,reflector-medium,amc12b_2002_p3,0,True,0.00613684,False,True
validation,reflector-medium,amc12b_2003_p6,0,False,0.02806214,False,False
validation,reflector-medium,amc12b_2020_p5,0,True,0.0025957999999999997,False,True
validation,reflector-medium,imo_1960_p2,0,False,0.028589100000000003,False,False
validation,reflector-medium,imo_1964_p2,0,False,0.0362298,False,False
validation,reflector-medium,imo_1969_p2,0,False,0.02563938,False,False
validation,reflector-medium,imo_1981_p6,0,True,0.006910100000000001,False,True
validation,reflector-medium,imo_1984_p6,0,False,0.024540999999999997,False,False
validation,reflector-medium,induction_prod1p1onk3le3m1onn,0,False,0.03845998,False,False
validation,reflector-medium,mathd_algebra_190,0,True,0.0007393599999999999,False,True
validation,reflector-medium,mathd_algebra_214,0,True,0.00078856,False,True
validation,reflector-medium,mathd_algebra_234,0,True,0.00130876,False,True
validation,reflector-medium,mathd_algebra_251,0,True,0.0017021599999999999,False,True
validation,reflector-medium,mathd_algebra_282,0,False,0.022230700000000003,False,False
validation,reflector-medium,mathd_algebra_327,0,True,0.0020659399999999996,False,True
validation,reflector-medium,mathd_algebra_393,0,True,0.01419718,False,True
validation,reflector-medium,mathd_algebra_421,0,True,0.0020799,False,True
validation,reflector-medium,mathd_algebra_433,0,True,0.00538148,False,True
validation,reflector-medium,mathd_numbertheory_284,0,True,0.00067416,False,True
validation,reflector-medium,mathd_numbertheory_303,0,False,0.03851142,False,False
validation,reflector-medium,mathd_numbertheory_33,0,True,0.0023206200000000002,False,True
validation,reflector-medium,mathd_numbertheory_37,0,False,0.03564688,False,False
validation,reflector-medium,mathd_numbertheory_405,0,False,0.027262999999999996,False,False
validation,reflector-medium,mathd_numbertheory_43,0,False,0.023042299999999998,False,False
validation,reflector-medium,mathd_numbertheory_461,0,True,0.00164102,False,True
validation,reflector-medium,mathd_numbertheory_530,0,False,0.03752992,False,False
validation,reflector-medium,mathd_numbertheory_64,0,True,0.022673959999999996,False,True
validation,reflector-xhigh,aime_1984_p7,0,False,0.02628458,False,False
validation,reflector-xhigh,aime_1989_p8,0,True,0.00074232,False,True
validation,reflector-xhigh,aime_1991_p6,0,False,0.024184099999999993,False,False
validation,reflector-xhigh,aime_1991_p9,0,False,0.026503160000000005,False,False
validation,reflector-xhigh,algebra_others_exirrpowirrrat,0,False,0.0260039,False,False
validation,reflector-xhigh,amc12_2000_p12,0,True,0.011640959999999999,False,True
validation,reflector-xhigh,amc12_2001_p21,0,True,0.00826524,False,True
validation,reflector-xhigh,amc12a_2002_p6,0,True,0.0008771199999999999,False,True
validation,reflector-xhigh,amc12a_2008_p4,0,True,0.017651299999999998,False,True
validation,reflector-xhigh,amc12a_2013_p8,0,True,0.00543816,False,True
validation,reflector-xhigh,amc12a_2016_p3,0,True,0.02108246,False,True
validation,reflector-xhigh,amc12a_2019_p21,0,False,0.024417000000000005,False,False
validation,reflector-xhigh,amc12a_2020_p21,0,False,0.023629940000000002,False,False
validation,reflector-xhigh,amc12b_2002_p3,0,True,0.01210104,False,True
validation,reflector-xhigh,amc12b_2003_p6,0,False,0.03690432,False,False
validation,reflector-xhigh,amc12b_2020_p5,0,True,0.0017039199999999998,False,True
validation,reflector-xhigh,imo_1960_p2,0,True,0.01098516,False,True
validation,reflector-xhigh,imo_1964_p2,0,True,0.020571100000000002,False,True
validation,reflector-xhigh,imo_1969_p2,0,False,0.025659099999999994,False,False
validation,reflector-xhigh,imo_1981_p6,0,True,0.00776874,False,True
validation,reflector-xhigh,imo_1984_p6,0,False,0.023072620000000002,False,False
validation,reflector-xhigh,induction_prod1p1onk3le3m1onn,0,False,0.026819900000000004,False,False
validation,reflector-xhigh,mathd_algebra_190,0,True,0.00135506,False,True
validation,reflector-xhigh,mathd_algebra_214,0,True,0.00074292,False,True
validation,reflector-xhigh,mathd_algebra_234,0,True,0.00101352,False,True
validation,reflector-xhigh,mathd_algebra_251,0,True,0.0013042599999999998,False,True
validation,reflector-xhigh,mathd_algebra_282,0,False,0.021600379999999995,False,False
validation,reflector-xhigh,mathd_algebra_327,0,True,0.00204292,False,True
validation,reflector-xhigh,mathd_algebra_393,0,True,0.015015339999999999,False,True
validation,reflector-xhigh,mathd_algebra_421,0,True,0.0037516199999999998,False,True
validation,reflector-xhigh,mathd_algebra_433,0,True,0.00269508,False,True
validation,reflector-xhigh,mathd_numbertheory_284,0,True,0.00072572,False,True
validation,reflector-xhigh,mathd_numbertheory_303,0,False,0.03286926,False,False
validation,reflector-xhigh,mathd_numbertheory_33,0,True,0.0010687399999999999,False,True
validation,reflector-xhigh,mathd_numbertheory_37,0,False,0.024317119999999998,False,False
validation,reflector-xhigh,mathd_numbertheory_405,0,False,0.039577579999999994,False,False
validation,reflector-xhigh,mathd_numbertheory_43,0,False,0.02589422,False,False
validation,reflector-xhigh,mathd_numbertheory_461,0,True,0.00118448,False,True
validation,reflector-xhigh,mathd_numbertheory_530,0,False,0.02476138,False,False
validation,reflector-xhigh,mathd_numbertheory_64,0,True,0.0037872799999999996,False,True
