stage,arm,role,theorem,seed,valid_or_solved,qualified_solve,platform_failed,cost,input,cached,output
adaptation,candidate,reducer,batch5,0,True,False,False,0.0032917999999999997,12853,0,601
adaptation,candidate,reflector,mathd_algebra_247,0,True,False,False,0.00140198,16267,12639,353
adaptation,candidate,reflector,mathd_numbertheory_35,0,True,False,False,0.00135016,15611,12278,365
adaptation,candidate,reflector,imo_1983_p6,0,True,False,False,0.005169760000000001,43772,26148,935
adaptation,candidate,reflector,amc12a_2020_p13,0,True,False,False,0.00225312,58989,57506,672
adaptation,candidate,curator,mathd_algebra_28,0,True,False,False,0.0025687999999999996,10198,0,441
adaptation,candidate,curator,mathd_numbertheory_403,0,True,False,False,0.0024472,10970,0,211
adaptation,candidate,curator,amc12b_2002_p11,0,True,False,False,0.0030708000000000003,11982,0,562
adaptation,candidate,curator,mathd_algebra_323,0,True,False,False,0.0036511999999999994,12172,0,1014
adaptation,candidate,reducer,batch6,0,True,False,False,0.002349,7323,0,737
adaptation,candidate,reflector,mathd_algebra_28,0,True,False,False,0.00138864,20613,19922,710
adaptation,candidate,reflector,mathd_numbertheory_403,0,True,False,False,0.0013364000000000002,16267,12670,303
adaptation,candidate,reflector,amc12b_2002_p11,0,False,False,False,0.01477134,128595,68287,1120
adaptation,candidate,reflector,mathd_algebra_323,0,True,False,False,0.0026892599999999997,22206,15453,858
adaptation,candidate,curator,mathd_numbertheory_42,0,True,False,False,0.0026372,11752,0,239
adaptation,candidate,curator,amc12b_2003_p17,0,True,False,False,0.004144999999999999,15721,0,834
adaptation,candidate,curator,mathd_algebra_37,0,True,False,False,0.0026451999999999995,11210,0,336
adaptation,candidate,curator,mathd_numbertheory_458,0,True,False,False,0.0028217999999999997,11973,0,356
adaptation,candidate,reducer,batch7,0,True,False,False,0.0024234,8637,0,580
adaptation,candidate,reflector,mathd_numbertheory_42,0,True,False,False,0.0015783400000000001,17333,13157,400
adaptation,candidate,reflector,amc12b_2003_p17,0,True,False,False,0.00436812,35046,21706,1055
adaptation,candidate,reflector,mathd_algebra_37,0,True,False,False,0.00123726,15558,12313,285
adaptation,candidate,reflector,mathd_numbertheory_458,0,True,False,False,0.0020377,17924,13435,726
adaptation,candidate,curator,mathd_algebra_410,0,True,False,False,0.0029731999999999996,11860,0,501
adaptation,candidate,curator,mathd_numbertheory_48,0,True,False,False,0.0034184000000000003,13636,0,576
adaptation,candidate,curator,amc12_2000_p1,0,True,False,False,0.004627399999999999,19027,0,685
adaptation,candidate,reducer,batch8,0,True,False,False,0.0058388,22846,0,1058
adaptation,candidate,reflector,amc12b_2004_p3,0,True,False,False,0.0029806800000000003,57102,50474,538
adaptation,candidate,reflector,mathd_algebra_410,0,True,False,False,0.00155448,16227,12594,480
adaptation,candidate,reflector,mathd_numbertheory_48,0,True,False,False,0.0023045599999999998,10492,4688,875
adaptation,candidate,reflector,amc12_2000_p1,0,True,False,False,0.00129978,23562,23559,690
adaptation,candidate,curator,mathd_algebra_43,0,True,False,False,0.0027502,11525,0,371
adaptation,candidate,curator,mathd_numbertheory_629,0,True,False,False,0.0036539999999999997,14880,0,565
adaptation,candidate,curator,amc12_2000_p6,0,True,False,False,0.0040257999999999995,15299,0,805
adaptation,candidate,curator,amc12a_2002_p13,0,True,False,False,0.0037449999999999996,15893,0,472
adaptation,candidate,reducer,batch9,0,True,False,False,0.0031919999999999995,11406,0,759
adaptation,candidate,reflector,mathd_algebra_43,0,True,False,False,0.0014295800000000002,16276,12629,373
adaptation,candidate,reflector,mathd_numbertheory_629,0,True,False,False,0.00191088,45363,44774,748
adaptation,candidate,reflector,amc12_2000_p6,0,True,False,False,0.0040034,10483,0,1589
adaptation,candidate,reflector,amc12a_2002_p13,0,True,False,False,0.0059226,53691,30860,616
reflection_pilot,control,reflector,amc12a_2020_p13,0,True,False,False,0.007123999999999999,24190,0,1905
reflection_pilot,control,reflector,imo_1968_p5_1,0,True,False,False,0.006298999999999999,22159,0,1556
reflection_pilot,candidate,reflector,amc12b_2004_p3,0,True,False,False,0.00496136,25240,4688,631
reflection_pilot,candidate,reflector,aime_1984_p1,0,True,False,False,0.01354322,105676,46971,719
reflection_pilot,candidate,reflector,amc12_2000_p6,0,True,False,False,0.00198496,10670,4688,579
reflection_pilot,control,reflector,amc12_2000_p1,0,True,False,False,0.005726199999999999,18419,0,1702
reflection_pilot,control,reflector,aime_1984_p1,0,True,False,False,0.009127,37643,0,1332
reflection_pilot,control,reflector,amc12_2000_p6,0,True,False,False,0.001937,4759,0,821
reflection_pilot,control,reflector,mathd_numbertheory_629,0,True,False,False,0.0053298,17571,0,1513
reflection_pilot,control,reflector,amc12b_2004_p3,0,True,False,False,0.0055888,20402,0,1257
reflection_pilot,candidate,reflector,amc12a_2020_p13,0,True,False,False,0.00794686,59192,28753,1070
reflection_pilot,candidate,reflector,mathd_algebra_28,0,True,False,False,0.00197718,20316,14649,459
reflection_pilot,candidate,reflector,mathd_numbertheory_629,0,True,False,False,0.0046581,45318,27075,390
reflection_pilot,control,reflector,mathd_algebra_28,0,True,False,False,0.0026106,5439,0,1269
reflection_pilot,candidate,reflector,imo_1968_p5_1,0,True,False,False,0.00625156,56075,31888,647
reflection_pilot,candidate,reflector,amc12_2000_p1,0,False,False,False,0.0114398,99118,53230,998
training,candidate,proof,imo_1967_p3,0,False,False,False,0.04091059999999999,277144,156390,11360
training,candidate,proof,aime_1988_p3,0,False,False,False,0.040462939999999996,236062,134677,14577
training,candidate,proof,amc12a_2003_p1,0,True,True,False,0.0057763,54749,43795,2258
training,candidate,proof,induction_pord1p1on2powklt5on2,0,False,False,False,0.0379283,198304,104685,14259
training,candidate,proof,algebra_amgm_sum1toneqn_prod1tonleq1,0,True,True,False,0.030241459999999998,256885,173833,8462
training,candidate,proof,mathd_algebra_185,0,False,False,False,0.03533106,407343,322253,9890
training,candidate,proof,mathd_numbertheory_221,0,True,True,False,0.0006165599999999999,7995,6698,186
training,candidate,proof,imo_1963_p5,0,True,True,False,0.02095184,185374,145652,8412
training,candidate,proof,aime_1984_p1,0,False,False,False,0.03976786,232271,128113,13645
training,candidate,proof,amc12a_2013_p7,0,True,True,False,0.0008469599999999999,8115,6698,358
training,candidate,proof,mathd_algebra_206,0,True,True,False,0.00166416,8019,6698,1055
training,candidate,proof,mathd_numbertheory_301,0,True,True,False,0.00061436,7918,6698,197
training,candidate,proof,imo_1968_p5_1,0,True,True,False,0.025016399999999998,222360,180820,10910
training,candidate,proof,aime_1988_p8,0,True,True,False,0.011897020000000001,84233,57291,4469
training,candidate,proof,amc12a_2016_p2,0,True,True,False,0.0007903599999999999,8024,6698,326
training,candidate,proof,mathd_algebra_224,0,False,False,False,0.03505082,443413,363401,9817
training,candidate,proof,mathd_numbertheory_326,0,True,True,False,0.00055696,7865,6698,158
training,candidate,proof,imo_1977_p6,0,False,False,False,0.04058932,155216,89306,21351
training,candidate,proof,aime_1990_p4,0,True,True,False,0.00514664,55513,50022,2540
training,candidate,proof,amc12a_2017_p7,0,True,True,False,0.0021176,8188,0,400
training,candidate,proof,mathd_algebra_247,0,True,True,False,0.00062796,7902,6698,211
training,candidate,proof,mathd_numbertheory_35,0,True,True,False,0.00049456,7829,6698,112
training,candidate,proof,imo_1983_p6,0,False,False,False,0.03874697999999999,178854,109859,18959
training,candidate,proof,amc12a_2020_p13,0,False,False,False,0.0373151,288343,191935,11829
training,candidate,proof,mathd_algebra_28,0,True,True,False,0.00432774,54885,46807,1480
training,candidate,proof,mathd_numbertheory_403,0,True,True,False,0.00058796,8134,6698,139
training,candidate,proof,amc12b_2002_p11,0,False,False,False,0.038325759999999987,440840,356048,11872
training,candidate,proof,mathd_algebra_323,0,True,True,False,0.00392784,36498,26792,1209
training,candidate,proof,mathd_numbertheory_42,0,True,True,False,0.0011468,16447,14770,430
training,candidate,proof,amc12b_2003_p17,0,True,True,False,0.0035535799999999998,48964,41469,1021
training,candidate,proof,mathd_algebra_37,0,True,True,False,0.00049736,7795,6698,120
training,candidate,proof,mathd_numbertheory_458,0,True,True,False,0.00110598,15993,14559,440
training,candidate,proof,amc12b_2004_p3,0,True,True,False,0.0314879,196246,113725,10591
training,candidate,proof,mathd_algebra_410,0,True,True,False,0.0012155199999999999,16298,13396,306
training,candidate,proof,mathd_numbertheory_48,0,True,True,False,0.00129752,16198,13396,391
training,candidate,proof,amc12_2000_p1,0,True,True,False,0.021991840000000002,164753,130942,10509
training,candidate,proof,mathd_algebra_43,0,True,True,False,0.00068096,7987,6698,241
training,candidate,proof,mathd_numbertheory_629,0,False,False,False,0.0328172,206920,145080,14623
training,candidate,proof,amc12_2000_p6,0,True,True,False,0.02209232,157450,125056,10927
training,candidate,proof,amc12a_2002_p13,0,True,True,False,0.0071835399999999995,51923,41097,3497
writer_pilot,candidate,curator,aime_1984_p1,0,True,False,False,0.0051627999999999995,17744,0,1345
writer_pilot,candidate,curator,amc12_2000_p1,0,True,False,False,0.0037191999999999998,12722,0,979
writer_pilot,candidate,curator,amc12a_2020_p13,0,True,False,False,0.0040158,16365,0,619
writer_pilot,candidate,curator,amc12b_2004_p3,0,True,False,False,0.0021348,7662,0,502
writer_pilot,candidate,reducer,batch0,0,True,False,False,0.0021479999999999997,6822,0,653
writer_pilot,candidate,curator,imo_1968_p5_1,0,True,False,False,0.0011362,4037,0,274
writer_pilot,candidate,curator,mathd_algebra_224,0,True,False,False,0.001597,3941,0,674
writer_pilot,candidate,curator,mathd_algebra_28,0,True,False,False,0.00374592,14472,3536,1240
writer_pilot,candidate,curator,mathd_numbertheory_629,0,True,False,False,0.0026708,11284,0,345
writer_pilot,candidate,reducer,batch1,0,True,False,False,0.0019085999999999999,4905,0,773
writer_pilot,control,curator,aime_1984_p1,0,True,False,False,0.0048238,16541,0,1263
writer_pilot,control,curator,amc12_2000_p1,0,True,False,False,0.004227999999999999,16256,0,814
writer_pilot,control,curator,amc12a_2020_p13,0,True,False,False,0.0051522,20577,0,864
writer_pilot,control,curator,amc12b_2004_p3,0,True,False,False,0.002665,10001,0,554
writer_pilot,control,reducer,batch0,0,True,False,False,0.0025268,8110,0,754
writer_pilot,control,curator,imo_1968_p5_1,0,True,False,False,0.0044472,17820,0,736
writer_pilot,control,curator,mathd_algebra_224,0,True,False,False,0.0013426,4973,0,290
writer_pilot,control,curator,mathd_algebra_28,0,True,False,False,0.0044388,16344,0,975
writer_pilot,control,curator,mathd_numbertheory_629,0,True,False,False,0.0035598,14607,0,532
writer_pilot,control,reducer,batch1,0,True,False,False,0.0020678,5701,0,773
