cell,request,receipt,output_limit,structured,shadow_32768_denied,proof_checked,truncated
aime_1984_p1__training-A__gpt-5.6-luna__seed0,17,112b8a5a0f45413f8987eebc986c964f,4096,False,True,True,False
aime_1988_p3__training-A__gpt-5.6-luna__seed0,1,f0c69e40c559404284efbdc3dd4dc28c,4096,False,False,False,False
aime_1988_p3__training-A__gpt-5.6-luna__seed0,2,ac539921df07418fadc0be97dcd61085,4096,False,False,False,False
aime_1988_p3__training-A__gpt-5.6-luna__seed0,3,75c23baa72444bd58f7263b5efad8deb,4096,False,False,False,False
aime_1988_p3__training-A__gpt-5.6-luna__seed0,4,a4912e7fbb1245ff9e5535dad2079804,4096,False,False,False,False
aime_1988_p3__training-A__gpt-5.6-luna__seed0,5,10cd4f0b94d547c09dd8a3d4155c909f,4096,False,False,False,False
aime_1988_p3__training-A__gpt-5.6-luna__seed0,6,fa7fd93eaa444986aa88f7cc921482ac,4096,False,False,True,False
aime_1988_p3__training-A__gpt-5.6-luna__seed0,7,e2d1004aded9426bb7f9f0295ef6989b,4096,False,False,True,False
aime_1988_p3__training-A__gpt-5.6-luna__seed0,8,d9e0e9267ce04c4d9400e9605885ea89,4096,False,False,True,False
aime_1988_p3__training-A__gpt-5.6-luna__seed0,9,62491607365a4fa9ba2c7a20fbea7bc2,4096,False,False,True,False
aime_1988_p3__training-A__gpt-5.6-luna__seed0,10,d777cc2ea13e4ca5afb8dfc9c6a5d9e6,4096,False,False,True,False
aime_1988_p3__training-A__gpt-5.6-luna__seed0,11,1a2b883c60104caeb6e8de703bc06c7d,4096,False,False,True,False
aime_1988_p3__training-A__gpt-5.6-luna__seed0,12,4f267211883c40918a4e62c2c70932f0,4096,False,False,True,False
aime_1988_p3__training-A__gpt-5.6-luna__seed0,13,51b400540d174f59adc37fbaffbeed4c,4096,False,False,True,False
aime_1988_p3__training-A__gpt-5.6-luna__seed0,14,f352e07af4c043b09f94271a5c678cec,4096,False,False,True,False
aime_1988_p3__training-A__gpt-5.6-luna__seed0,15,4df42c8919d64e4b8124fe52374fb2bd,4096,False,False,False,False
aime_1988_p3__training-A__gpt-5.6-luna__seed0,16,c0f7353e01e7405b981b0219d6fa8905,4096,False,False,False,False
aime_1988_p3__training-A__gpt-5.6-luna__seed0,17,a62f087ac0044839949119c4d1145cb9,4096,False,False,True,False
aime_1988_p3__training-A__gpt-5.6-luna__seed0,18,53278fe4349b449f9665cecc58ffa4e0,4096,False,False,True,False
aime_1988_p3__training-A__gpt-5.6-luna__seed0,19,a99f5d2bf43b43588ba6c9f1c76461fa,4096,False,True,True,False
aime_1988_p3__training-A__gpt-5.6-luna__seed0,20,7b995b836b8d4030baeecd9aa2adb131,4096,False,True,True,False
aime_1988_p3__training-A__gpt-5.6-luna__seed0,21,839fa2f6a4574d9596943d1968b6f8bc,4096,False,True,True,False
aime_1988_p8__training-A__gpt-5.6-luna__seed0,1,f0e99eb7ddfd404a9f629a9ffe938573,4096,False,False,True,False
aime_1988_p8__training-A__gpt-5.6-luna__seed0,2,8a2dc5ec398147e99cf193b0d29154fd,4096,False,False,True,False
aime_1988_p8__training-A__gpt-5.6-luna__seed0,3,df062086aea74be39178d4a7294fa315,4096,False,False,True,False
aime_1988_p8__training-A__gpt-5.6-luna__seed0,4,7cc1c51695714d66a48133221b1bb994,4096,False,False,True,False
aime_1990_p4__training-A__gpt-5.6-luna__seed0,1,51eb598fe0fd4c45a14afe37c4e74abf,4096,False,False,True,False
aime_1990_p4__training-A__gpt-5.6-luna__seed0,2,8d65bda077d444ec902c19ca05c1a41f,4096,False,False,False,False
aime_1990_p4__training-A__gpt-5.6-luna__seed0,3,67f2588d377e48c49f1b58a9c4adda16,4096,False,False,False,False
aime_1990_p4__training-A__gpt-5.6-luna__seed0,4,ae08219c36fb45a49183dca263fde107,4096,False,False,True,False
aime_1990_p4__training-A__gpt-5.6-luna__seed0,5,4c3dd0827cfe431cb35e0b3eab6e577b,4096,False,False,False,False
aime_1990_p4__training-A__gpt-5.6-luna__seed0,6,66490fb115604e588c56f24ec98a906d,4096,False,False,True,False
aime_1990_p4__training-A__gpt-5.6-luna__seed0,7,92e661ddd3994077a6769429797312a4,4096,False,False,True,False
aime_1990_p4__training-A__gpt-5.6-luna__seed0,8,59dc27210c17421da52d1178d3f6b69b,4096,False,False,True,False
aime_1990_p4__training-A__gpt-5.6-luna__seed0,9,9e29683e20c8434c907943173fda14bd,4096,False,False,True,False
aime_1990_p4__training-A__gpt-5.6-luna__seed0,10,09f83b696ca84005b815c77ec8958abc,4096,False,False,True,False
algebra_amgm_sum1toneqn_prod1tonleq1__training-A__gpt-5.6-luna__seed0,1,05d9c7cf2e8049c5a721f088e03fe9c5,4096,False,False,False,False
algebra_amgm_sum1toneqn_prod1tonleq1__training-A__gpt-5.6-luna__seed0,2,9283dafa461c4a128d132e774fb9a6dd,4096,False,False,False,False
algebra_amgm_sum1toneqn_prod1tonleq1__training-A__gpt-5.6-luna__seed0,3,d2552b69f07147ebbe249c5fc1df09d5,4096,False,False,False,False
algebra_amgm_sum1toneqn_prod1tonleq1__training-A__gpt-5.6-luna__seed0,4,178b29fd5e0b4aa4b967706f6f1ac13c,4096,False,False,False,False
algebra_amgm_sum1toneqn_prod1tonleq1__training-A__gpt-5.6-luna__seed0,5,6c2b3e6eceb745a7941ed6bbc0787e3c,4096,False,False,False,False
algebra_amgm_sum1toneqn_prod1tonleq1__training-A__gpt-5.6-luna__seed0,6,1432747795ca4feba687c0d3b92d9fd4,4096,False,False,True,False
algebra_amgm_sum1toneqn_prod1tonleq1__training-A__gpt-5.6-luna__seed0,7,8987b363c2ff4efa891e748bcd655f56,4096,False,False,False,False
algebra_amgm_sum1toneqn_prod1tonleq1__training-A__gpt-5.6-luna__seed0,8,c32ed1cde06749d4b0e775fc2af74a11,4096,False,False,False,False
algebra_amgm_sum1toneqn_prod1tonleq1__training-A__gpt-5.6-luna__seed0,9,ea21152635864b26840da28006ca11c1,4096,False,False,False,False
algebra_amgm_sum1toneqn_prod1tonleq1__training-A__gpt-5.6-luna__seed0,10,54b241b255ef4309823bf64c79b3d0da,4096,False,False,False,False
algebra_amgm_sum1toneqn_prod1tonleq1__training-A__gpt-5.6-luna__seed0,11,5075734c50d54af8a90caa897cce6b45,4096,False,False,False,False
algebra_amgm_sum1toneqn_prod1tonleq1__training-A__gpt-5.6-luna__seed0,12,11522a69a3fb4c23ac490c7cf90884cf,4096,False,False,False,False
algebra_amgm_sum1toneqn_prod1tonleq1__training-A__gpt-5.6-luna__seed0,13,78cc8e2884c44b7ab1ce4be19f014aeb,4096,False,False,True,False
algebra_amgm_sum1toneqn_prod1tonleq1__training-A__gpt-5.6-luna__seed0,14,43e52460470245a2b0759ffb51d4b756,4096,False,False,True,False
algebra_amgm_sum1toneqn_prod1tonleq1__training-A__gpt-5.6-luna__seed0,15,9661336a8b8849168af552e6d2052cd8,4096,False,False,False,False
algebra_amgm_sum1toneqn_prod1tonleq1__training-A__gpt-5.6-luna__seed0,16,a8d2d83d7b394c768901fd2581b0604b,4096,False,False,False,False
algebra_amgm_sum1toneqn_prod1tonleq1__training-A__gpt-5.6-luna__seed0,17,e3233076bcad4269bd7832e8bf5af880,4096,False,False,False,False
algebra_amgm_sum1toneqn_prod1tonleq1__training-A__gpt-5.6-luna__seed0,18,d94c3b9b0c4f42698bcf44ca142dc46e,4096,False,False,True,False
algebra_amgm_sum1toneqn_prod1tonleq1__training-A__gpt-5.6-luna__seed0,19,72ca03375f47468fa08b8d6242d30197,4096,False,False,True,False
algebra_amgm_sum1toneqn_prod1tonleq1__training-A__gpt-5.6-luna__seed0,20,397592f3f48749b6aa46dad015814d61,4096,False,False,False,False
algebra_amgm_sum1toneqn_prod1tonleq1__training-A__gpt-5.6-luna__seed0,21,e14bef5704e34809b6d75911cc9dc6f8,4096,False,False,True,False
algebra_amgm_sum1toneqn_prod1tonleq1__training-A__gpt-5.6-luna__seed0,22,175e1651313d42fda3b32711a821910a,4096,False,False,False,False
algebra_amgm_sum1toneqn_prod1tonleq1__training-A__gpt-5.6-luna__seed0,23,360df34585ae4fca8a3af9b88419d3e0,4096,False,False,False,False
algebra_amgm_sum1toneqn_prod1tonleq1__training-A__gpt-5.6-luna__seed0,24,99a92a7712cd4feabe3b670c64ca78f4,4096,False,False,True,False
algebra_amgm_sum1toneqn_prod1tonleq1__training-A__gpt-5.6-luna__seed0,25,4a67df6cf52f40dd8c8c713e8b21bbe7,4096,False,False,True,False
algebra_amgm_sum1toneqn_prod1tonleq1__training-A__gpt-5.6-luna__seed0,26,bd521ce36f4e46f4833fb1c1c9b89fa9,4096,False,False,False,False
algebra_amgm_sum1toneqn_prod1tonleq1__training-A__gpt-5.6-luna__seed0,27,3e775b2b41da48fa809042bde5ee25b7,4096,False,False,True,False
algebra_amgm_sum1toneqn_prod1tonleq1__training-A__gpt-5.6-luna__seed0,28,7166da6362e34c029cf30046d297f92c,4096,False,False,True,False
algebra_amgm_sum1toneqn_prod1tonleq1__training-A__gpt-5.6-luna__seed0,29,2200730dcb40401a8141ae38c35997d2,4096,False,False,True,False
algebra_amgm_sum1toneqn_prod1tonleq1__training-A__gpt-5.6-luna__seed0,30,2980f9dbff6e42dc8da0c79825fb4bcc,4096,False,False,False,False
algebra_amgm_sum1toneqn_prod1tonleq1__training-A__gpt-5.6-luna__seed0,31,48d7e236d6274a37ae1a5134203a52fc,4096,False,True,False,False
algebra_amgm_sum1toneqn_prod1tonleq1__training-A__gpt-5.6-luna__seed0,32,3b0d43ab813e4a56a9288524800b3f70,4096,False,True,True,False
algebra_amgm_sum1toneqn_prod1tonleq1__training-A__gpt-5.6-luna__seed0,33,2e6271ac702b48fc9c482c0284d5ff0a,4096,False,True,True,False
algebra_amgm_sum1toneqn_prod1tonleq1__training-A__gpt-5.6-luna__seed0,34,8105a9aaad9b4a238fa39f44e94fb1f3,4096,False,True,True,False
algebra_amgm_sum1toneqn_prod1tonleq1__training-A__gpt-5.6-luna__seed0,35,d395578e827c45b18002cd42b7574604,4096,False,True,True,False
algebra_amgm_sum1toneqn_prod1tonleq1__training-A__gpt-5.6-luna__seed0,36,b19a7a75f3d340e48845944ca19ef3ee,4096,False,True,True,False
algebra_amgm_sum1toneqn_prod1tonleq1__training-A__gpt-5.6-luna__seed0,37,b1255d695c8a40318c0028c1c2cf4d46,4096,False,True,False,False
algebra_amgm_sum1toneqn_prod1tonleq1__training-A__gpt-5.6-luna__seed0,38,82a9a08ea22145f99403552a91ddb280,4096,False,True,False,False
algebra_amgm_sum1toneqn_prod1tonleq1__training-A__gpt-5.6-luna__seed0,39,c763b939e75b4f3d9279c66e32a7d927,4096,False,True,True,False
algebra_amgm_sum1toneqn_prod1tonleq1__training-A__gpt-5.6-luna__seed0,40,0fbc6409e5d2424eb6c8442edbdb4442,4096,False,True,True,False
algebra_amgm_sum1toneqn_prod1tonleq1__training-A__gpt-5.6-luna__seed0,41,f1a11cea27f144368a5cf8431b7be9cf,4096,False,True,False,False
algebra_amgm_sum1toneqn_prod1tonleq1__training-A__gpt-5.6-luna__seed0,42,793c8b09e219461abbd937de4d7241fb,4096,False,True,True,False
algebra_amgm_sum1toneqn_prod1tonleq1__training-A__gpt-5.6-luna__seed0,43,ab18500a42c94dcba8f2dcc2da551df6,4096,False,True,True,False
algebra_amgm_sum1toneqn_prod1tonleq1__training-A__gpt-5.6-luna__seed0,44,a365d903f9f743cd8f7383c1f986c47f,4096,False,True,True,False
algebra_amgm_sum1toneqn_prod1tonleq1__training-A__gpt-5.6-luna__seed0,45,07c131dd4cad406b8f9792744edec712,4096,False,True,True,False
algebra_amgm_sum1toneqn_prod1tonleq1__training-A__gpt-5.6-luna__seed0,46,8c04825875334836a22eb596aa246a95,4096,False,True,True,False
algebra_amgm_sum1toneqn_prod1tonleq1__training-A__gpt-5.6-luna__seed0,47,d5b0399e5e794a6eacd13a42daeb171d,4096,False,True,True,False
algebra_amgm_sum1toneqn_prod1tonleq1__training-A__gpt-5.6-luna__seed0,48,43a5614c79034ca0a9be5c80c50df6ea,4096,False,True,True,False
algebra_amgm_sum1toneqn_prod1tonleq1__training-A__gpt-5.6-luna__seed0,49,24dd10896f8c4efeb4429f1e7b34dee3,4096,False,True,True,False
amc12_2000_p1__training-A__gpt-5.6-luna__seed0,1,9b29fcae88d743c1960253c3d01989d9,4096,False,False,True,False
amc12_2000_p1__training-A__gpt-5.6-luna__seed0,2,35b6bb66987c41a1b4ea2e0a710aba3e,4096,False,False,True,False
amc12_2000_p1__training-A__gpt-5.6-luna__seed0,3,b9fd5fe3e7aa446299a76146fd363157,4096,False,False,True,False
amc12_2000_p1__training-A__gpt-5.6-luna__seed0,4,e25eee43a5144888bb8acdaabe23c783,4096,False,False,True,False
amc12_2000_p1__training-A__gpt-5.6-luna__seed0,5,a7ce3f1108fa46eb9193099f7b67ae94,4096,False,False,True,False
amc12_2000_p6__training-A__gpt-5.6-luna__seed0,1,b18388a9beb7481b9b97d28fe7b3ba9a,4096,False,False,False,False
amc12_2000_p6__training-A__gpt-5.6-luna__seed0,2,c88f24fee15b4c5e942745638a0803ee,4096,False,False,False,False
amc12_2000_p6__training-A__gpt-5.6-luna__seed0,3,acf0586b71ff42bbaf314f6b124b7361,4096,False,False,False,False
amc12_2000_p6__training-A__gpt-5.6-luna__seed0,4,a6df8b9c225f43fe8672173d5de93722,4096,False,False,False,False
amc12_2000_p6__training-A__gpt-5.6-luna__seed0,5,9667f80a86e34213831df7786a392f20,4096,False,False,True,False
amc12_2000_p6__training-A__gpt-5.6-luna__seed0,6,a01027f9c8904a69b97450a8011cd29f,4096,False,False,True,False
amc12a_2002_p13__training-A__gpt-5.6-luna__seed0,1,335184b7d06d4deba4c109ffd4536a8c,4096,False,False,False,False
amc12a_2002_p13__training-A__gpt-5.6-luna__seed0,2,d08f961dbe954eb2b98de3ff6b286e6c,4096,False,False,False,False
amc12a_2002_p13__training-A__gpt-5.6-luna__seed0,3,f1f04b9f4f57416eb3f59622197629d3,4096,False,False,False,False
amc12a_2002_p13__training-A__gpt-5.6-luna__seed0,4,08b7424770944ddf8daff3023dcee043,4096,False,False,False,False
amc12a_2002_p13__training-A__gpt-5.6-luna__seed0,5,7d03281a423140098e8b8c8f8f5b4bc6,4096,False,False,True,False
amc12a_2002_p13__training-A__gpt-5.6-luna__seed0,6,12b45cc78f5b44a190a70076001f273b,4096,False,False,True,False
amc12a_2002_p13__training-A__gpt-5.6-luna__seed0,7,076b8d94a5b847d18fef653bf6664640,4096,False,False,False,False
amc12a_2002_p13__training-A__gpt-5.6-luna__seed0,8,c6b1171614b849c48b54d4cd92475428,4096,False,False,True,False
amc12a_2002_p13__training-A__gpt-5.6-luna__seed0,9,bc0fd6f02bb3496eb29805cacd712fd0,4096,False,False,True,False
amc12a_2002_p13__training-A__gpt-5.6-luna__seed0,10,d4def6573c78443b97822dcef3e0bac8,4096,False,False,True,False
amc12a_2003_p1__training-A__gpt-5.6-luna__seed0,1,12e5dae1482d4fe48fd269fe2a8deb6a,4096,False,False,True,False
amc12a_2003_p1__training-A__gpt-5.6-luna__seed0,2,1e1015932c4a4b27930ef06757a7231a,4096,False,False,True,False
amc12a_2013_p7__training-A__gpt-5.6-luna__seed0,1,1dc026a5562f4c0d92b863db7f5775af,4096,False,False,True,False
amc12a_2016_p2__training-A__gpt-5.6-luna__seed0,1,94da285ea31041daaa15702f72361e98,4096,False,False,False,False
amc12a_2016_p2__training-A__gpt-5.6-luna__seed0,2,839ca0c09fcb4d83b330e7046287e265,4096,False,False,False,False
amc12a_2016_p2__training-A__gpt-5.6-luna__seed0,3,df6f15a624894298862e6fd0ec2b6bc7,4096,False,False,False,False
amc12a_2016_p2__training-A__gpt-5.6-luna__seed0,4,eefc56160ff74b0aa3715c8c7ea152d3,4096,False,False,True,False
amc12a_2016_p2__training-A__gpt-5.6-luna__seed0,5,a479259b0dca4957a269f69f0acfe838,4096,False,False,True,False
amc12a_2016_p2__training-A__gpt-5.6-luna__seed0,6,2dba394b0ca14487a29fb58e1eff273f,4096,False,False,True,False
amc12a_2016_p2__training-A__gpt-5.6-luna__seed0,7,2ccb89ac6cfd465dbe4ddb8accad6698,4096,False,False,True,False
amc12a_2016_p2__training-A__gpt-5.6-luna__seed0,8,ff04763a4a8e4ad78872d1d3f45acc0c,4096,False,False,True,False
amc12a_2016_p2__training-A__gpt-5.6-luna__seed0,9,766d6fcf8fa74777bdbafd32af8a685b,4096,False,False,True,False
amc12a_2016_p2__training-A__gpt-5.6-luna__seed0,10,be89c251d88b4a6f8547aeb91836fd90,4096,False,False,True,False
amc12a_2016_p2__training-A__gpt-5.6-luna__seed0,11,8d8ca58b5c6849149b46e7ef3df4d8d6,4096,False,False,True,False
amc12a_2016_p2__training-A__gpt-5.6-luna__seed0,12,bac3100a952240949a1ab73329e8d7e5,4096,False,False,False,False
amc12a_2016_p2__training-A__gpt-5.6-luna__seed0,13,b8fc4470c51f4c329ba216aeb0a96080,4096,False,False,True,False
amc12a_2016_p2__training-A__gpt-5.6-luna__seed0,14,0f590cd2e8f94ebb922e729314abf0af,4096,False,False,True,False
amc12a_2016_p2__training-A__gpt-5.6-luna__seed0,15,d2a0b54e9db148fe87408780a42f5379,4096,False,False,True,False
amc12a_2016_p2__training-A__gpt-5.6-luna__seed0,16,189e54d334e14328a122122a645cc9a7,4096,False,False,True,False
amc12a_2016_p2__training-A__gpt-5.6-luna__seed0,17,dcd45c15484a41adb74431cc0e650240,4096,False,False,True,False
amc12a_2016_p2__training-A__gpt-5.6-luna__seed0,18,462d711952954b2b92dddfa4c84e8eec,4096,False,False,True,False
amc12a_2017_p7__training-A__gpt-5.6-luna__seed0,1,4bf96ec22e424f15bcb77adfc8805002,4096,False,False,False,False
amc12a_2017_p7__training-A__gpt-5.6-luna__seed0,2,a7ce91b4c9034db7a3abaeac0f8d4ec8,4096,False,False,False,False
amc12a_2017_p7__training-A__gpt-5.6-luna__seed0,3,88a658eeca29400f80502feb94866f7c,4096,False,False,False,False
amc12a_2017_p7__training-A__gpt-5.6-luna__seed0,4,caa3abeffdc846bc801bd1ca55d49f0d,4096,False,False,True,False
amc12a_2017_p7__training-A__gpt-5.6-luna__seed0,5,1c05fc23a4e946068cb0c4dfcea22701,4096,False,False,False,False
amc12a_2017_p7__training-A__gpt-5.6-luna__seed0,6,885f6e453e1c4686934a51060449a960,4096,False,False,False,False
amc12a_2017_p7__training-A__gpt-5.6-luna__seed0,7,c1e28669e58c4ea3a7d80eee081a3ae2,4096,False,False,False,False
amc12a_2017_p7__training-A__gpt-5.6-luna__seed0,8,79f2db1b91b54faeb9a999e658a21810,4096,False,False,True,False
amc12a_2017_p7__training-A__gpt-5.6-luna__seed0,9,4e8e43e8d4c84734a20a8e99144b8e55,4096,False,False,False,False
amc12a_2017_p7__training-A__gpt-5.6-luna__seed0,10,0a5464378f374919a309bac15e377c2f,4096,False,False,False,False
amc12a_2017_p7__training-A__gpt-5.6-luna__seed0,11,1606ffd496ca4110ad5e60f53a5aaddc,4096,False,False,True,False
amc12a_2017_p7__training-A__gpt-5.6-luna__seed0,12,6fa9115b333d490ba63fef5072366b51,4096,False,False,True,False
amc12a_2017_p7__training-A__gpt-5.6-luna__seed0,13,1b11554d7dee47e9becab6bef8bf33c4,4096,False,False,True,False
amc12a_2017_p7__training-A__gpt-5.6-luna__seed0,14,5e2bea9d9ce2475a8bc1595bb2d15f98,4096,False,False,True,False
amc12a_2017_p7__training-A__gpt-5.6-luna__seed0,15,aeb26f08422c4b97963c48ca7028188e,4096,False,False,True,False
amc12a_2017_p7__training-A__gpt-5.6-luna__seed0,16,6e62fa51ed904b14b039c8cd87352fb4,4096,False,False,True,False
amc12a_2020_p13__training-A__gpt-5.6-luna__seed0,1,c44ecde6433f437b8902c4c5b79c22ea,4096,False,False,False,False
amc12a_2020_p13__training-A__gpt-5.6-luna__seed0,2,8ea7fcb94c224e39ae371df4df928c54,4096,False,False,False,False
amc12a_2020_p13__training-A__gpt-5.6-luna__seed0,3,86485c4ffdc64414b0bfcc878058fbb5,4096,False,False,False,False
amc12a_2020_p13__training-A__gpt-5.6-luna__seed0,4,b35c151236df4f9294e8649a097ce95d,4096,False,False,False,False
amc12a_2020_p13__training-A__gpt-5.6-luna__seed0,5,94ad6eb38593480b91785f97fe6aa2fb,4096,False,False,False,False
amc12a_2020_p13__training-A__gpt-5.6-luna__seed0,6,7c78f87bafbd4fed9695b3e341d0811d,4096,False,False,False,False
amc12a_2020_p13__training-A__gpt-5.6-luna__seed0,7,4662c4cb39934c2a90a1f3b42c812b98,4096,False,False,True,False
amc12a_2020_p13__training-A__gpt-5.6-luna__seed0,8,3be48de9d7eb4bf19879c7e44058d3aa,4096,False,False,True,False
amc12a_2020_p13__training-A__gpt-5.6-luna__seed0,9,273dc31b84024c68978ed205437bd219,4096,False,False,False,False
amc12a_2020_p13__training-A__gpt-5.6-luna__seed0,10,efb2afaa3fbf47c9b4b12c985c13fac4,4096,False,False,False,False
amc12a_2020_p13__training-A__gpt-5.6-luna__seed0,11,bb799ab2422b4002ab474a91df176e5f,4096,False,False,True,False
amc12a_2020_p13__training-A__gpt-5.6-luna__seed0,12,c387735d185f4f7bb97f932a8333a1c8,4096,False,False,False,False
amc12a_2020_p13__training-A__gpt-5.6-luna__seed0,13,57e49b177cd44ce6b5fcc1bda3f84419,4096,False,False,False,False
amc12a_2020_p13__training-A__gpt-5.6-luna__seed0,14,e847f8442995417083b1ebb35db6861f,4096,False,False,True,False
amc12a_2020_p13__training-A__gpt-5.6-luna__seed0,15,d57d48fdcfbd42b2904ecded8ade95fd,4096,False,False,True,False
amc12a_2020_p13__training-A__gpt-5.6-luna__seed0,16,1093defdbb354f1da7608fac8cd91384,4096,False,False,True,False
amc12a_2020_p13__training-A__gpt-5.6-luna__seed0,17,53d62b62746b41b28401d6e773cff8b1,4096,False,False,True,False
amc12a_2020_p13__training-A__gpt-5.6-luna__seed0,18,922b11ff8bf04019b48b81b22ba7840b,4096,False,False,True,False
amc12a_2020_p13__training-A__gpt-5.6-luna__seed0,19,7768663c3dd64c75b989891a99423366,4096,False,True,True,False
amc12a_2020_p13__training-A__gpt-5.6-luna__seed0,20,2b373ce25c7a46229504b1585a9e1c98,4096,False,True,False,False
amc12a_2020_p13__training-A__gpt-5.6-luna__seed0,21,7eaf4836a4454d4da9890870453cf89a,4096,False,True,True,False
amc12a_2020_p13__training-A__gpt-5.6-luna__seed0,22,774a9c8d439c4cad82588de0dcf1835d,4096,False,True,True,False
amc12b_2002_p11__training-A__gpt-5.6-luna__seed0,1,83b5da976ace4525978bca107ebae984,4096,False,False,False,False
amc12b_2002_p11__training-A__gpt-5.6-luna__seed0,2,6366912f050b4b68a07578979f2eb81f,4096,False,False,False,False
amc12b_2002_p11__training-A__gpt-5.6-luna__seed0,3,c62946a20ff1444484405aea85785e62,4096,False,False,False,False
amc12b_2002_p11__training-A__gpt-5.6-luna__seed0,4,5a81a454854e4b9e941c1e4f0d91e2d1,4096,False,False,False,False
amc12b_2002_p11__training-A__gpt-5.6-luna__seed0,5,473e0ab5206c44ee8b2df5f6f938302d,4096,False,False,False,False
amc12b_2002_p11__training-A__gpt-5.6-luna__seed0,6,4318da95377c4ef4aae6d391cf1ed29e,4096,False,False,False,False
amc12b_2002_p11__training-A__gpt-5.6-luna__seed0,7,36032a42cfca4714b2d2a0ea0e118c6d,4096,False,False,False,False
amc12b_2002_p11__training-A__gpt-5.6-luna__seed0,8,400cd3c5fc26455daa1d2041c36dedae,4096,False,False,False,False
amc12b_2002_p11__training-A__gpt-5.6-luna__seed0,9,e9e1d8039a3f47178b232d0af486bd85,4096,False,False,False,False
amc12b_2002_p11__training-A__gpt-5.6-luna__seed0,10,a4649fb57d8543ab861e204ba2327692,4096,False,False,False,False
amc12b_2002_p11__training-A__gpt-5.6-luna__seed0,11,b7551f99a5ad4f6d90acc3cda0d58e37,4096,False,False,True,False
amc12b_2002_p11__training-A__gpt-5.6-luna__seed0,12,1669d3aaaba94e75bbe5f38d960d261f,4096,False,False,False,False
amc12b_2002_p11__training-A__gpt-5.6-luna__seed0,13,39556f4cfd384c0b9883402d294c9bd5,4096,False,False,False,False
amc12b_2002_p11__training-A__gpt-5.6-luna__seed0,14,0ab3b14597cb4d4eb66233a925a54757,4096,False,False,False,False
amc12b_2002_p11__training-A__gpt-5.6-luna__seed0,15,071462b874744e91bc9d654ce739ac09,4096,False,False,False,False
amc12b_2002_p11__training-A__gpt-5.6-luna__seed0,16,9885ea5cab9246ce95de973f640e84c0,4096,False,False,False,False
amc12b_2002_p11__training-A__gpt-5.6-luna__seed0,17,cf2586ff1b054d20990ea6f28d7e15db,4096,False,False,False,False
amc12b_2002_p11__training-A__gpt-5.6-luna__seed0,18,e7a8034059d74056b36160613827ffec,4096,False,False,True,False
amc12b_2002_p11__training-A__gpt-5.6-luna__seed0,19,754791449f0849c6b6a7158ae295c020,4096,False,False,False,False
amc12b_2002_p11__training-A__gpt-5.6-luna__seed0,20,c60dd60043e24ef98ccc1e1b15bd02ad,4096,False,False,True,False
amc12b_2002_p11__training-A__gpt-5.6-luna__seed0,21,941a368f458c4538ac47d421a4e7fff4,4096,False,False,True,False
amc12b_2002_p11__training-A__gpt-5.6-luna__seed0,22,e40ba7d1978543ddae9b022cab023b28,4096,False,False,True,False
amc12b_2002_p11__training-A__gpt-5.6-luna__seed0,23,0d18cdd9bd684205a1313722c57e0a96,4096,False,False,True,False
amc12b_2002_p11__training-A__gpt-5.6-luna__seed0,24,86b304958bea49039a61231323a269f5,4096,False,False,True,False
