cell,theorem,stage,arm,seed,solved,failed,cost,reference_solved,reference_cost,exposed,model_requests,proof_checks,input_tokens,cached_input_tokens,output_tokens,source
amc12a_2016_p2__training-A__gpt-5.6-luna__seed0,amc12a_2016_p2,training,A,0,True,False,0.034139239999999994,True,0.00283102,False,18,14,216532,110702,8966,experiments/output/resource_completion_20260913/training/A/configs/amc12a_2016_p2__training-A__gpt-5.6-luna__seed0
amc12a_2017_p7__training-A__gpt-5.6-luna__seed0,amc12a_2017_p7,training,A,0,True,False,0.024517159999999996,True,0.010614499999999999,False,16,8,174613,110088,7842,experiments/output/resource_completion_20260913/training/A/configs/amc12a_2017_p7__training-A__gpt-5.6-luna__seed0
amc12a_2020_p13__training-A__gpt-5.6-luna__seed0,amc12a_2020_p13,training,A,0,False,False,0.06437567999999999,False,0.03665764,True,22,11,406572,219304,18780,experiments/output/resource_completion_20260913/training/A/configs/amc12a_2020_p13__training-A__gpt-5.6-luna__seed0
amc12b_2002_p11__training-A__gpt-5.6-luna__seed0,amc12b_2002_p11,training,A,0,False,False,0.066788,False,0.03523288,True,28,11,498424,293620,16629,experiments/output/resource_completion_20260913/training/A/configs/amc12b_2002_p11__training-A__gpt-5.6-luna__seed0
amc12b_2003_p17__training-A__gpt-5.6-luna__seed0,amc12b_2003_p17,training,A,0,True,False,0.00819626,True,0.01660522,False,8,5,68758,47803,2541,experiments/output/resource_completion_20260913/training/A/configs/amc12b_2003_p17__training-A__gpt-5.6-luna__seed0
amc12b_2004_p3__training-A__gpt-5.6-luna__seed0,amc12b_2004_p3,training,A,0,False,False,0.038463540000000004,False,0.039440920000000004,False,18,10,248262,173067,16636,experiments/output/resource_completion_20260913/training/A/configs/amc12b_2004_p3__training-A__gpt-5.6-luna__seed0
imo_1963_p5__training-A__gpt-5.6-luna__seed0,imo_1963_p5,training,A,0,True,False,0.029957779999999996,True,0.019044719999999998,False,22,8,280621,200309,8241,experiments/output/resource_completion_20260913/training/A/configs/imo_1963_p5__training-A__gpt-5.6-luna__seed0
imo_1967_p3__training-A__gpt-5.6-luna__seed0,imo_1967_p3,training,A,0,False,False,0.06942268,False,0.0318086,True,32,15,622361,417324,16724,experiments/output/resource_completion_20260913/training/A/configs/imo_1967_p3__training-A__gpt-5.6-luna__seed0
imo_1968_p5_1__training-A__gpt-5.6-luna__seed0,imo_1968_p5_1,training,A,0,True,False,0.0089038,False,0.03879356,False,7,3,57200,41950,4179,experiments/output/resource_completion_20260913/training/A/configs/imo_1968_p5_1__training-A__gpt-5.6-luna__seed0
imo_1977_p6__training-A__gpt-5.6-luna__seed0,imo_1977_p6,training,A,0,False,False,0.06590632,False,0.039424959999999995,True,19,13,355841,190346,24167,experiments/output/resource_completion_20260913/training/A/configs/imo_1977_p6__training-A__gpt-5.6-luna__seed0
imo_1983_p6__training-A__gpt-5.6-luna__seed0,imo_1983_p6,training,A,0,True,False,0.03527684,True,0.024007199999999996,False,14,10,190387,98272,12407,experiments/output/resource_completion_20260913/training/A/configs/imo_1983_p6__training-A__gpt-5.6-luna__seed0
induction_pord1p1on2powklt5on2__training-A__gpt-5.6-luna__seed0,induction_pord1p1on2powklt5on2,training,A,0,True,False,0.05866294,True,0.0418447,True,23,14,356732,172617,15323,experiments/output/resource_completion_20260913/training/A/configs/induction_pord1p1on2powklt5on2__training-A__gpt-5.6-luna__seed0
mathd_algebra_185__training-A__gpt-5.6-luna__seed0,mathd_algebra_185,training,A,0,False,False,0.06676588,False,0.03593192,True,26,14,537587,326004,14941,experiments/output/resource_completion_20260913/training/A/configs/mathd_algebra_185__training-A__gpt-5.6-luna__seed0
mathd_algebra_206__training-A__gpt-5.6-luna__seed0,mathd_algebra_206,training,A,0,True,False,0.00336034,True,0.00221612,False,3,2,24128,18427,1543,experiments/output/resource_completion_20260913/training/A/configs/mathd_algebra_206__training-A__gpt-5.6-luna__seed0
mathd_algebra_224__training-A__gpt-5.6-luna__seed0,mathd_algebra_224,training,A,0,False,False,0.06596196,False,0.03899668,True,27,16,450960,252698,17713,experiments/output/resource_completion_20260913/training/A/configs/mathd_algebra_224__training-A__gpt-5.6-luna__seed0
mathd_algebra_247__training-A__gpt-5.6-luna__seed0,mathd_algebra_247,training,A,0,True,False,0.0082975,True,0.0006182399999999999,False,9,8,74981,60455,3486,experiments/output/resource_completion_20260913/training/A/configs/mathd_algebra_247__training-A__gpt-5.6-luna__seed0
mathd_algebra_28__training-A__gpt-5.6-luna__seed0,mathd_algebra_28,training,A,0,True,False,0.0062527799999999994,True,0.0044972,False,8,6,60069,47419,2312,experiments/output/resource_completion_20260913/training/A/configs/mathd_algebra_28__training-A__gpt-5.6-luna__seed0
mathd_algebra_323__training-A__gpt-5.6-luna__seed0,mathd_algebra_323,training,A,0,True,False,0.0049258800000000005,True,0.0034953199999999997,False,5,3,42000,31674,1856,experiments/output/resource_completion_20260913/training/A/configs/mathd_algebra_323__training-A__gpt-5.6-luna__seed0
mathd_algebra_37__training-A__gpt-5.6-luna__seed0,mathd_algebra_37,training,A,0,True,False,0.00049124,True,0.00049124,False,1,1,5869,4772,147,experiments/output/resource_completion_20260913/training/A/configs/mathd_algebra_37__training-A__gpt-5.6-luna__seed0
mathd_algebra_410__training-A__gpt-5.6-luna__seed0,mathd_algebra_410,training,A,0,True,False,0.00082964,True,0.00068564,False,1,1,5959,4772,414,experiments/output/resource_completion_20260913/training/A/configs/mathd_algebra_410__training-A__gpt-5.6-luna__seed0
mathd_algebra_43__training-A__gpt-5.6-luna__seed0,mathd_algebra_43,training,A,0,True,False,0.00061964,True,0.00064244,False,1,1,6061,4772,222,experiments/output/resource_completion_20260913/training/A/configs/mathd_algebra_43__training-A__gpt-5.6-luna__seed0
mathd_numbertheory_221__training-A__gpt-5.6-luna__seed0,mathd_numbertheory_221,training,A,0,True,False,0.0005864399999999999,True,0.00049884,False,1,1,6069,4772,193,experiments/output/resource_completion_20260913/training/A/configs/mathd_numbertheory_221__training-A__gpt-5.6-luna__seed0
mathd_numbertheory_301__training-A__gpt-5.6-luna__seed0,mathd_numbertheory_301,training,A,0,True,False,0.0032914599999999995,True,0.00162612,False,4,1,27416,19743,1135,experiments/output/resource_completion_20260913/training/A/configs/mathd_numbertheory_301__training-A__gpt-5.6-luna__seed0
mathd_numbertheory_326__training-A__gpt-5.6-luna__seed0,mathd_numbertheory_326,training,A,0,True,False,0.00051484,True,0.00047164,False,1,1,5939,4772,155,experiments/output/resource_completion_20260913/training/A/configs/mathd_numbertheory_326__training-A__gpt-5.6-luna__seed0
mathd_numbertheory_35__training-A__gpt-5.6-luna__seed0,mathd_numbertheory_35,training,A,0,True,False,0.00043804,True,0.00048363999999999997,False,1,1,5903,4772,97,experiments/output/resource_completion_20260913/training/A/configs/mathd_numbertheory_35__training-A__gpt-5.6-luna__seed0
mathd_numbertheory_403__training-A__gpt-5.6-luna__seed0,mathd_numbertheory_403,training,A,0,True,False,0.00059624,True,0.00052664,False,1,1,6208,4772,178,experiments/output/resource_completion_20260913/training/A/configs/mathd_numbertheory_403__training-A__gpt-5.6-luna__seed0
mathd_numbertheory_42__training-A__gpt-5.6-luna__seed0,mathd_numbertheory_42,training,A,0,True,False,0.00110856,True,0.00099516,False,2,1,12759,10918,435,experiments/output/resource_completion_20260913/training/A/configs/mathd_numbertheory_42__training-A__gpt-5.6-luna__seed0
mathd_numbertheory_458__training-A__gpt-5.6-luna__seed0,mathd_numbertheory_458,training,A,0,True,False,0.00246996,True,0.00215528,False,4,2,29781,24168,720,experiments/output/resource_completion_20260913/training/A/configs/mathd_numbertheory_458__training-A__gpt-5.6-luna__seed0
mathd_numbertheory_48__training-A__gpt-5.6-luna__seed0,mathd_numbertheory_48,training,A,0,True,False,0.009157479999999999,True,0.00617276,False,9,7,73364,54054,3512,experiments/output/resource_completion_20260913/training/A/configs/mathd_numbertheory_48__training-A__gpt-5.6-luna__seed0
mathd_numbertheory_629__training-A__gpt-5.6-luna__seed0,mathd_numbertheory_629,training,A,0,False,False,0.06951768,False,0.04150678,True,22,17,333894,146944,24324,experiments/output/resource_completion_20260913/training/A/configs/mathd_numbertheory_629__training-A__gpt-5.6-luna__seed0
aime_1984_p1__training-B__gpt-5.6-luna__seed0,aime_1984_p1,training,B,0,False,False,0.039247819999999996,False,0.032781779999999996,True,15,11,271378,112001,4277,experiments/output/resource_completion_20260913/training/B/configs/aime_1984_p1__training-B__gpt-5.6-luna__seed0
aime_1988_p3__training-B__gpt-5.6-luna__seed0,aime_1988_p3,training,B,0,False,False,0.04127962,True,0.039468159999999995,True,17,11,235439,110161,11684,experiments/output/resource_completion_20260913/training/B/configs/aime_1988_p3__training-B__gpt-5.6-luna__seed0
aime_1988_p8__training-B__gpt-5.6-luna__seed0,aime_1988_p8,training,B,0,True,False,0.00309796,True,0.011352979999999999,True,2,2,15125,11708,1817,experiments/output/resource_completion_20260913/training/B/configs/aime_1988_p8__training-B__gpt-5.6-luna__seed0
aime_1990_p4__training-B__gpt-5.6-luna__seed0,aime_1990_p4,training,B,0,True,False,0.015012459999999998,True,0.0077706400000000005,True,14,9,135506,90913,3563,experiments/output/resource_completion_20260913/training/B/configs/aime_1990_p4__training-B__gpt-5.6-luna__seed0
algebra_amgm_sum1toneqn_prod1tonleq1__training-B__gpt-5.6-luna__seed0,algebra_amgm_sum1toneqn_prod1tonleq1,training,B,0,False,False,0.0417092,False,0.040076360000000005,True,25,7,466930,348580,9223,experiments/output/resource_completion_20260913/training/B/configs/algebra_amgm_sum1toneqn_prod1tonleq1__training-B__gpt-5.6-luna__seed0
amc12_2000_p1__training-B__gpt-5.6-luna__seed0,amc12_2000_p1,training,B,0,False,False,0.0369413,False,0.0385016,True,14,10,175597,111305,18214,experiments/output/resource_completion_20260913/training/B/configs/amc12_2000_p1__training-B__gpt-5.6-luna__seed0
amc12_2000_p6__training-B__gpt-5.6-luna__seed0,amc12_2000_p6,training,B,0,True,False,0.01686876,True,0.011517859999999998,True,17,8,184197,153808,6429,experiments/output/resource_completion_20260913/training/B/configs/amc12_2000_p6__training-B__gpt-5.6-luna__seed0
amc12a_2002_p13__training-B__gpt-5.6-luna__seed0,amc12a_2002_p13,training,B,0,False,False,0.03856072,True,0.02622858,True,23,11,338447,248946,13068,experiments/output/resource_completion_20260913/training/B/configs/amc12a_2002_p13__training-B__gpt-5.6-luna__seed0
amc12a_2003_p1__training-B__gpt-5.6-luna__seed0,amc12a_2003_p1,training,B,0,True,False,0.01007924,True,0.0024149799999999997,True,11,9,82846,64182,4219,experiments/output/resource_completion_20260913/training/B/configs/amc12a_2003_p1__training-B__gpt-5.6-luna__seed0
amc12a_2013_p7__training-B__gpt-5.6-luna__seed0,amc12a_2013_p7,training,B,0,True,False,0.0015718999999999998,True,0.00079284,True,2,2,12088,11145,967,experiments/output/resource_completion_20260913/training/B/configs/amc12a_2013_p7__training-B__gpt-5.6-luna__seed0
amc12a_2016_p2__training-B__gpt-5.6-luna__seed0,amc12a_2016_p2,training,B,0,True,False,0.022880219999999996,True,0.00283102,True,14,10,153759,83771,6006,experiments/output/resource_completion_20260913/training/B/configs/amc12a_2016_p2__training-B__gpt-5.6-luna__seed0
amc12a_2017_p7__training-B__gpt-5.6-luna__seed0,amc12a_2017_p7,training,B,0,True,False,0.011210159999999999,True,0.010614499999999999,True,9,6,83637,55378,3709,experiments/output/resource_completion_20260913/training/B/configs/amc12a_2017_p7__training-B__gpt-5.6-luna__seed0
amc12a_2020_p13__training-B__gpt-5.6-luna__seed0,amc12a_2020_p13,training,B,0,False,False,0.03981664,False,0.03665764,True,26,10,354875,247142,11106,experiments/output/resource_completion_20260913/training/B/configs/amc12a_2020_p13__training-B__gpt-5.6-luna__seed0
amc12b_2002_p11__training-B__gpt-5.6-luna__seed0,amc12b_2002_p11,training,B,0,False,False,0.040058540000000004,False,0.03523288,True,26,12,342580,245837,13161,experiments/output/resource_completion_20260913/training/B/configs/amc12b_2002_p11__training-B__gpt-5.6-luna__seed0
amc12b_2003_p17__training-B__gpt-5.6-luna__seed0,amc12b_2003_p17,training,B,0,True,False,0.00516994,True,0.01660522,True,8,4,57092,49927,2282,experiments/output/resource_completion_20260913/training/B/configs/amc12b_2003_p17__training-B__gpt-5.6-luna__seed0
amc12b_2004_p3__training-B__gpt-5.6-luna__seed0,amc12b_2004_p3,training,B,0,False,False,0.024485719999999996,False,0.039440920000000004,True,13,7,151147,94316,9361,experiments/output/resource_completion_20260913/training/B/configs/amc12b_2004_p3__training-B__gpt-5.6-luna__seed0
imo_1963_p5__training-B__gpt-5.6-luna__seed0,imo_1963_p5,training,B,0,False,False,0.03937496000000001,True,0.019044719999999998,True,27,17,345946,247628,12299,experiments/output/resource_completion_20260913/training/B/configs/imo_1963_p5__training-B__gpt-5.6-luna__seed0
imo_1967_p3__training-B__gpt-5.6-luna__seed0,imo_1967_p3,training,B,0,False,False,0.03605248,False,0.0318086,True,20,9,291395,204474,12149,experiments/output/resource_completion_20260913/training/B/configs/imo_1967_p3__training-B__gpt-5.6-luna__seed0
imo_1968_p5_1__training-B__gpt-5.6-luna__seed0,imo_1968_p5_1,training,B,0,True,False,0.014914019999999998,False,0.03879356,True,11,7,101862,63351,4954,experiments/output/resource_completion_20260913/training/B/configs/imo_1968_p5_1__training-B__gpt-5.6-luna__seed0
imo_1977_p6__training-B__gpt-5.6-luna__seed0,imo_1977_p6,training,B,0,False,False,0.0406699,False,0.039424959999999995,True,15,12,181403,104535,19338,experiments/output/resource_completion_20260913/training/B/configs/imo_1977_p6__training-B__gpt-5.6-luna__seed0
imo_1983_p6__training-B__gpt-5.6-luna__seed0,imo_1983_p6,training,B,0,True,False,0.020246939999999998,True,0.024007199999999996,True,9,7,79500,51177,11299,experiments/output/resource_completion_20260913/training/B/configs/imo_1983_p6__training-B__gpt-5.6-luna__seed0
induction_pord1p1on2powklt5on2__training-B__gpt-5.6-luna__seed0,induction_pord1p1on2powklt5on2,training,B,0,False,False,0.04220291999999999,True,0.0418447,True,26,17,321996,190446,10070,experiments/output/resource_completion_20260913/training/B/configs/induction_pord1p1on2powklt5on2__training-B__gpt-5.6-luna__seed0
mathd_algebra_185__training-B__gpt-5.6-luna__seed0,mathd_algebra_185,training,B,0,False,False,0.03927084,False,0.03593192,True,28,10,434613,319132,8160,experiments/output/resource_completion_20260913/training/B/configs/mathd_algebra_185__training-B__gpt-5.6-luna__seed0
mathd_algebra_206__training-B__gpt-5.6-luna__seed0,mathd_algebra_206,training,B,0,True,False,0.00337682,True,0.00221612,True,3,2,18691,12121,1517,experiments/output/resource_completion_20260913/training/B/configs/mathd_algebra_206__training-B__gpt-5.6-luna__seed0
mathd_algebra_224__training-B__gpt-5.6-luna__seed0,mathd_algebra_224,training,B,0,False,False,0.03736374,False,0.03899668,True,22,10,266328,188897,15083,experiments/output/resource_completion_20260913/training/B/configs/mathd_algebra_224__training-B__gpt-5.6-luna__seed0
mathd_algebra_247__training-B__gpt-5.6-luna__seed0,mathd_algebra_247,training,B,0,True,False,0.00384566,True,0.0006182399999999999,True,4,4,24232,16593,1655,experiments/output/resource_completion_20260913/training/B/configs/mathd_algebra_247__training-B__gpt-5.6-luna__seed0
mathd_algebra_28__training-B__gpt-5.6-luna__seed0,mathd_algebra_28,training,B,0,True,False,0.00174144,True,0.0044972,True,3,3,17673,15942,897,experiments/output/resource_completion_20260913/training/B/configs/mathd_algebra_28__training-B__gpt-5.6-luna__seed0
mathd_algebra_323__training-B__gpt-5.6-luna__seed0,mathd_algebra_323,training,B,0,True,False,0.00160934,True,0.0034953199999999997,False,1,1,6100,6097,1239,experiments/output/resource_completion_20260913/training/B/configs/mathd_algebra_323__training-B__gpt-5.6-luna__seed0
mathd_algebra_37__training-B__gpt-5.6-luna__seed0,mathd_algebra_37,training,B,0,True,False,0.00029912,True,0.00049124,False,1,1,5869,5866,151,experiments/output/resource_completion_20260913/training/B/configs/mathd_algebra_37__training-B__gpt-5.6-luna__seed0
mathd_algebra_410__training-B__gpt-5.6-luna__seed0,mathd_algebra_410,training,B,0,True,False,0.00330156,True,0.00068564,True,6,5,36600,31678,1403,experiments/output/resource_completion_20260913/training/B/configs/mathd_algebra_410__training-B__gpt-5.6-luna__seed0
mathd_algebra_43__training-B__gpt-5.6-luna__seed0,mathd_algebra_43,training,B,0,True,False,0.00056336,True,0.00064244,False,1,1,6061,6058,368,experiments/output/resource_completion_20260913/training/B/configs/mathd_algebra_43__training-B__gpt-5.6-luna__seed0
mathd_numbertheory_221__training-B__gpt-5.6-luna__seed0,mathd_numbertheory_221,training,B,0,True,False,0.00033551999999999996,True,0.00049884,False,1,1,6069,6066,178,experiments/output/resource_completion_20260913/training/B/configs/mathd_numbertheory_221__training-B__gpt-5.6-luna__seed0
mathd_numbertheory_301__training-B__gpt-5.6-luna__seed0,mathd_numbertheory_301,training,B,0,True,False,0.010492459999999999,True,0.00162612,True,10,7,93334,62693,2592,experiments/output/resource_completion_20260913/training/B/configs/mathd_numbertheory_301__training-B__gpt-5.6-luna__seed0
mathd_numbertheory_326__training-B__gpt-5.6-luna__seed0,mathd_numbertheory_326,training,B,0,True,False,0.00024291999999999998,True,0.00047164,False,1,1,5939,5936,103,experiments/output/resource_completion_20260913/training/B/configs/mathd_numbertheory_326__training-B__gpt-5.6-luna__seed0
mathd_numbertheory_35__training-B__gpt-5.6-luna__seed0,mathd_numbertheory_35,training,B,0,True,False,0.00023740000000000002,True,0.00048363999999999997,False,1,1,5903,5900,99,experiments/output/resource_completion_20260913/training/B/configs/mathd_numbertheory_35__training-B__gpt-5.6-luna__seed0
mathd_numbertheory_403__training-B__gpt-5.6-luna__seed0,mathd_numbertheory_403,training,B,0,True,False,0.0002975,True,0.00052664,False,1,1,6208,6205,144,experiments/output/resource_completion_20260913/training/B/configs/mathd_numbertheory_403__training-B__gpt-5.6-luna__seed0
mathd_numbertheory_42__training-B__gpt-5.6-luna__seed0,mathd_numbertheory_42,training,B,0,True,False,0.0007318399999999999,True,0.00099516,False,2,1,12628,12292,349,experiments/output/resource_completion_20260913/training/B/configs/mathd_numbertheory_42__training-B__gpt-5.6-luna__seed0
mathd_numbertheory_458__training-B__gpt-5.6-luna__seed0,mathd_numbertheory_458,training,B,0,True,False,0.0020553999999999998,True,0.00215528,False,4,1,26654,25110,1037,experiments/output/resource_completion_20260913/training/B/configs/mathd_numbertheory_458__training-B__gpt-5.6-luna__seed0
mathd_numbertheory_48__training-B__gpt-5.6-luna__seed0,mathd_numbertheory_48,training,B,0,True,False,0.0044778199999999995,True,0.00617276,True,6,6,37639,30811,2080,experiments/output/resource_completion_20260913/training/B/configs/mathd_numbertheory_48__training-B__gpt-5.6-luna__seed0
mathd_numbertheory_629__training-B__gpt-5.6-luna__seed0,mathd_numbertheory_629,training,B,0,False,False,0.038742979999999996,False,0.04150678,True,25,16,337777,249369,13395,experiments/output/resource_completion_20260913/training/B/configs/mathd_numbertheory_629__training-B__gpt-5.6-luna__seed0
aime_1984_p7__validation-A__gpt-5.6-luna__seed0,aime_1984_p7,validation,A,0,True,False,0.045047,True,0.021000719999999997,True,13,10,190846,77470,17352,experiments/output/resource_completion_20260913/validation/A/configs/aime_1984_p7__validation-A__gpt-5.6-luna__seed0
aime_1989_p8__validation-A__gpt-5.6-luna__seed0,aime_1989_p8,validation,A,0,True,False,0.00058044,True,0.000312,False,1,1,6573,4772,104,experiments/output/resource_completion_20260913/validation/A/configs/aime_1989_p8__validation-A__gpt-5.6-luna__seed0
aime_1991_p6__validation-A__gpt-5.6-luna__seed0,aime_1991_p6,validation,A,0,False,False,0.06680868,False,0.034694520000000006,True,18,6,411372,212874,19043,experiments/output/resource_completion_20260913/validation/A/configs/aime_1991_p6__validation-A__gpt-5.6-luna__seed0
aime_1991_p9__validation-A__gpt-5.6-luna__seed0,aime_1991_p9,validation,A,0,False,False,0.07011567999999999,True,0.035652699999999996,True,23,16,427127,194434,16407,experiments/output/resource_completion_20260913/validation/A/configs/aime_1991_p9__validation-A__gpt-5.6-luna__seed0
algebra_others_exirrpowirrrat__validation-A__gpt-5.6-luna__seed0,algebra_others_exirrpowirrrat,validation,A,0,False,False,0.07043355999999999,False,0.03667356,True,56,9,1026401,885788,20496,experiments/output/resource_completion_20260913/validation/A/configs/algebra_others_exirrpowirrrat__validation-A__gpt-5.6-luna__seed0
amc12_2000_p12__validation-A__gpt-5.6-luna__seed0,amc12_2000_p12,validation,A,0,True,False,0.008971739999999999,True,0.01450842,False,7,7,56034,39477,4059,experiments/output/resource_completion_20260913/validation/A/configs/amc12_2000_p12__validation-A__gpt-5.6-luna__seed0
amc12_2001_p21__validation-A__gpt-5.6-luna__seed0,amc12_2001_p21,validation,A,0,False,False,0.01861652,False,0.03846148,False,14,9,144376,109586,7889,experiments/output/resource_completion_20260913/validation/A/configs/amc12_2001_p21__validation-A__gpt-5.6-luna__seed0
amc12a_2002_p6__validation-A__gpt-5.6-luna__seed0,amc12a_2002_p6,validation,A,0,True,False,0.00050164,True,0.00055204,False,1,1,6005,4772,133,experiments/output/resource_completion_20260913/validation/A/configs/amc12a_2002_p6__validation-A__gpt-5.6-luna__seed0
amc12a_2008_p4__validation-A__gpt-5.6-luna__seed0,amc12a_2008_p4,validation,A,0,True,False,0.06059594,True,0.0091323,True,24,17,384457,188377,14677,experiments/output/resource_completion_20260913/validation/A/configs/amc12a_2008_p4__validation-A__gpt-5.6-luna__seed0
amc12a_2013_p8__validation-A__gpt-5.6-luna__seed0,amc12a_2013_p8,validation,A,0,True,False,0.007828660000000001,True,0.0056448,False,7,5,51758,37903,3583,experiments/output/resource_completion_20260913/validation/A/configs/amc12a_2013_p8__validation-A__gpt-5.6-luna__seed0
amc12a_2016_p3__validation-A__gpt-5.6-luna__seed0,amc12a_2016_p3,validation,A,0,True,False,0.015687919999999998,True,0.00671758,False,12,7,129856,89236,4816,experiments/output/resource_completion_20260913/validation/A/configs/amc12a_2016_p3__validation-A__gpt-5.6-luna__seed0
amc12a_2019_p21__validation-A__gpt-5.6-luna__seed0,amc12a_2019_p21,validation,A,0,False,False,0.06810414,False,0.040915639999999996,True,29,12,543657,337527,16773,experiments/output/resource_completion_20260913/validation/A/configs/amc12a_2019_p21__validation-A__gpt-5.6-luna__seed0
amc12a_2020_p21__validation-A__gpt-5.6-luna__seed0,amc12a_2020_p21,validation,A,0,False,False,0.053060300000000005,False,0.0363663,True,63,38,1276585,1209635,12898,experiments/output/resource_completion_20260913/validation/A/configs/amc12a_2020_p21__validation-A__gpt-5.6-luna__seed0
amc12b_2002_p3__validation-A__gpt-5.6-luna__seed0,amc12b_2002_p3,validation,A,0,True,False,0.00423168,True,0.005691659999999999,False,5,2,36657,29434,1832,experiments/output/resource_completion_20260913/validation/A/configs/amc12b_2002_p3__validation-A__gpt-5.6-luna__seed0
amc12b_2003_p6__validation-A__gpt-5.6-luna__seed0,amc12b_2003_p6,validation,A,0,True,False,0.028991760000000002,True,0.023090899999999998,False,14,9,156342,90108,11619,experiments/output/resource_completion_20260913/validation/A/configs/amc12b_2003_p6__validation-A__gpt-5.6-luna__seed0
amc12b_2020_p5__validation-A__gpt-5.6-luna__seed0,amc12b_2020_p5,validation,A,0,True,False,0.00058204,True,0.00033951999999999995,False,1,1,6209,4772,166,experiments/output/resource_completion_20260913/validation/A/configs/amc12b_2020_p5__validation-A__gpt-5.6-luna__seed0
imo_1960_p2__validation-A__gpt-5.6-luna__seed0,imo_1960_p2,validation,A,0,True,False,0.01087258,True,0.00632444,False,10,5,86726,64319,4254,experiments/output/resource_completion_20260913/validation/A/configs/imo_1960_p2__validation-A__gpt-5.6-luna__seed0
imo_1964_p2__validation-A__gpt-5.6-luna__seed0,imo_1964_p2,validation,A,0,True,False,0.029028579999999995,True,0.013769059999999998,False,10,8,134468,63479,11301,experiments/output/resource_completion_20260913/validation/A/configs/imo_1964_p2__validation-A__gpt-5.6-luna__seed0
imo_1969_p2__validation-A__gpt-5.6-luna__seed0,imo_1969_p2,validation,A,0,False,False,0.05922587999999999,False,0.03866375999999999,True,27,15,543891,393044,17663,experiments/output/resource_completion_20260913/validation/A/configs/imo_1969_p2__validation-A__gpt-5.6-luna__seed0
imo_1981_p6__validation-A__gpt-5.6-luna__seed0,imo_1981_p6,validation,A,0,True,False,0.0072876799999999995,True,0.0078697,False,6,4,55615,35874,2185,experiments/output/resource_completion_20260913/validation/A/configs/imo_1981_p6__validation-A__gpt-5.6-luna__seed0
imo_1984_p6__validation-A__gpt-5.6-luna__seed0,imo_1984_p6,validation,A,0,False,False,0.0212158,False,0.033171280000000004,False,20,6,210575,166300,7529,experiments/output/resource_completion_20260913/validation/A/configs/imo_1984_p6__validation-A__gpt-5.6-luna__seed0
